name,Complexity,Copy Number
160p10h2v0.rle,20.234361718085903,7
48p9.rle,40.77748887444372,19
88p25.rle,64.7202360118006,11
101.rle,39.0,138
31.4.rle,24.0,17
long4snake synth.rle,81.024401220061,14
2eceater.rle,41.6518825941297,61
487tickreflector.rle,182.63468173408668,7
168p22.1.rle,77.77278863943197,12
104p177.rle,131.24701235061752,5
33p3.1eatingss.rle,35.16940847042352,10
132p37.rle,113.89194459722985,9
14p2.4.rle,19.499924996249813,15
30p5h2v0eater2.rle,18.13865693284664,38
long5snake_synth.rle,81.024401220061,13
104p177_synth.rle,127.05650282514125,5
4gto5gr2.rle,38.243112155607776,6
104p177reactions.rle,644.562428121406,5
bakersdozen2.rle,34.91659582979149,15
104p25.rle,70.32016600830042,11
bargesiameseloaf.rle,15.0,25
105p25.rle,60.319965998299914,11
blx19r.rle,29.536326816340814,9
20p2.rle,21.0,3
10cellinfinitegrowth.rle,10.024451222561128,168
33p3.1reactions.rle,35.66663333166658,10
10enginecordership.rle,181.01420071003548,12
48p22.1.rle,42.999799989999495,12
1234_synth.rle,326.49962498124904,1
13loop2.rle,21.0,9
230p8.rle,85.62503125156258,9
34p14shuttle.rle,34.928546427321365,66
112p15.rle,73.39786989349467,12
17c45reaction.rle,40.315965798289916,9
186p24.rle,105.79153957697885,11
112p51.rle,105.03095154757737,12
34p14shuttle_synth.rle,102.23461173058652,66
134p25.rle,75.11995599779989,9
15bentpaperclip.rle,20.0,13
32829m.rle,100.74018700935046,6
beehiveatclaw.rle,15.0,8
112p51_synth.rle,105.14555727786389,12
53p13.rle,36.38436921846092,15
112p51extended.rle,170.11450572528625,12
134p39.1.rle,68.10245512275614,10
114p6h1v0.rle,67.62403120156007,21
113p18.rle,61.83334166708335,8
13loop.rle,17.0,2
14p2.1.rle,19.499924996249813,12
246p3.rle,78.99994999749987,20
35p12.rle,32.916645832291614,9
bobsled.rle,471.4821241062053,9
17columnheavyweightvolcano.rle,49.60003000150007,1
114p6h1v0pushalong.rle,162.9853992699635,21
bronco.rle,94.93819690984549,16
114p6h1v0pushalong2.rle,118.2723636181809,21
beehiveondock.rle,17.0,27
117p18.rle,77.88884444222211,8
beehiveontable.rle,17.0,21
13enginecordership.rle,167.06970348517424,18
28p7.3.rle,28.71428571428571,28
40514m.rle,213.21016050802538,10
bx106.rle,146.08445422271112,16
55p10.rle,42.10000500025001,26
117p9h3v0.rle,20.189409470473525,15
40enginecordership.rle,598.1819590979549,11
144p24.rle,82.41637081854093,7
30p6.1.rle,28.000150007500373,10
55p9h3v0.rle,20.17000850042502,11
60p72.rle,52.069403470173505,17
119p4h1v0.rle,57.11110555527776,18
42883m.rle,82.78678933946696,6
145p20.rle,72.84999249962497,9
42p10.3.rle,34.100005000250015,7
gtolwss.rle,237.3297164858243,6
124p21.rle,72.28566428321416,9
119p4h1v0tagalong.rle,96.54657732886643,18
beluchenkosp51.rle,98.40237011850593,13
123.rle,24.666683334166706,1103
bf20h.rle,79.0542027101355,12
18p2.471.rle,20.500025001250062,3
1234.rle,23.500025001250062,787
33p3.1.rle,30.999949997499872,10
bfx59hinjector.rle,99.06565328266413,10
33p3.1bumper.rle,183.17605880294013,10
gun132.rle,586.0937046852342,6
twoglidermess.rle,93.28401420071003,4
14p2.3.rle,19.0,16
28p7.3bumperbouncer.rle,165.99844992249612,28
biloafpgg.rle,12.00330016500825,2
1beacon.rle,20.500025001250062,14
bipoletiesnake.rle,16.0,4
124p37.rle,91.29206460323016,5
28p7.3eatingss.rle,37.25901295064753,28
68p16.rle,57.06230311515576,11
151p3h1v0.rle,45.48152407620381,9
long3snake_synth.rle,23.017200860043,1
126p3h1v0.rle,31.725886294314716,15
1beacon_synth.rle,36.00775038751937,14
cylinder.rle,4.00190009500475,20
21p2_synth.rle,42.00950047502375,5
128p13.1.rle,69.76863843192159,2
blockersharingblocks.rle,32.24986249312465,99
boundingdiamond.rle,38.92119605980299,8
271c72climber.rle,201.05690284514225,6
