@CENSUS,@CENSUS,TABLE
xs12_g8o653z11,xs12_g8o653z11,57
xs14_g88m952z121,xs14_g88m952z121,15
xs4_252,xs4_252,186
xs4_33,xs4_33,20983
xs5_253,xs5_253,1277
xs6_25a4,xs6_25a4,20
xs6_356,xs6_356,775
xs6_39c,xs6_39c,4
xs6_696,xs6_696,9981
xs6_bd,xs6_bd,2
xs7_178c,xs7_178c,1
xs7_2596,xs7_2596,1740
xs7_25ac,xs7_25ac,20
xs8_35ac,xs8_35ac,1
xs8_6996,xs8_6996,1104
xs8_69ic,xs8_69ic,5
