"apgcode","occurrences"
"xs25_g8e1dagz0dd1dd","1606"
"xs25_4a9f0rbz651321","1599"
"xs25_35ic88b96zwc953","1593"
"xs25_0giliczc9622qic","1565"
"xs25_4a9b8bb8ozw6513","1537"
"xs25_mmgehlmz1x3443","1514"
"xs25_0g8o6ll2zra87011","1513"
"xs25_3lkkmicz346066","1513"
"xs25_69acz255lmzw3443","1486"
"xs25_39e0ehv0rr","1477"
"xs25_31egmiczciq226","1476"
"xs25_o81v0s4gz011x11d96","1472"
"xs25_o4ie0ehlmz01y2652","1467"
"xs25_gy0g8o653zdlhe032","1455"
"xs25_g88bb8oz0dd1dd","1423"
"xs25_ca952z359e0e96","1422"
"xs25_9f0sia4z3552ac","1420"
"xs25_xmlhe0e96z4a96","1396"
"xs25_069acggzci970743","1394"
"xs25_0mlhe0ehla4z32","1385"
"xs25_g88ehjz11dlge3","1384"
"xs25_6996z699b96zx33","1377"
"xs25_660u1lmz1787011","1368"
"xs25_ciu0e9jz06a871","1363"
"xs25_3lk453z347069a4","1352"
"xs25_0ggm552zrq2qr","1348"
"xs25_ml1e8zdd0f96","1317"
"xs25_0gilligkcz346066","1292"
"xs25_ca1v0brz330321","1289"
"xs25_3lkkl3z12iaq1zx1","1272"
"xs25_2lligzrq2qq1","1257"
"xs25_03lkmkkoz256066","1243"
"xs25_8e1u0mmz1787011","1235"
"xs25_wmkl3zgbaq452z011","1232"
"xs25_cc0s2qb96zbdw1","1212"
"xs25_62s0v9z321078a6","1209"
"xs25_g88ml96zdlhe2","1208"
"xs25_3pmgmp3zcia6","1202"
"xs25_rb8b96zw651156","1200"
"xs25_4a9b8bbgzw69d11","1192"
"xs25_2ege1lmzx116a96","1185"
"xs25_4a9fgn96z03543","1180"
"xs25_651u0mmz1787011","1175"
"xs25_c4go0u1v0rrzy21","1171"
"xs25_69b8baik8zw2553","1168"
"xs25_356o8gzy02j0u156zy111","1159"
"xs25_caabaacz330f9","1155"
"xs25_c88b96z355d1e8","1143"
"xs25_0ca9lmzc970743","1140"
"xs25_gbaabgzdd1dd","1137"
"xs25_w696z2lll552z1221","1124"
"xs25_o4ie0ehlmz01y2256","1121"
"xs25_08o6p3zoif03453","1120"
"xs25_08e1qczc97078a6","1119"
"xs25_69b8n96z259ho","1119"
"xs25_0g08e1t6zo5ld11z01","1103"
"xs25_0651u8zc97078a6","1102"
"xs25_oo1v0v1oozx343","1098"
"xs25_0c9b8b96z651156","1096"
"xs25_ca9520kcz3pq321","1096"
"xs25_0696z355llmzx1221","1080"
"xs25_0gg0s2ege96z343w121","1078"
"xs25_3lkmkkmz1246221","1077"
"xs25_ca2s0f9gzw6b871","1076"
"xs25_069mgmiczca22ac","1072"
"xs25_0cc0f9gz69d1dd","1066"
"xs25_4s0si96zdlia6","1064"
"xs25_wg88e1ege1e8z2543","1057"
"xs25_wml1eozgba871z11","1055"
"xs25_03hu0o4czckgf023","1052"
"xs25_6996z69d996zx33","1052"
"xs25_c4o0ehe0eik8z321","1050"
"xs25_69mk2u0oozw6943","1047"
"xs25_0259acz69d113156","1034"
"xs25_c4o0u93z69lc32","1032"
"xs25_c9b8brz178b6","1008"
"xs25_259e0ehu0uic","1007"
"xs25_699e0e996zw6513","997"
"xs25_2llm88gz320fgp1","995"
"xs25_8e1v0v9z330321","995"
"xs25_0caaba96z651156","993"
"xs25_ca96z359e0eik8","992"
"xs25_ca952zw319e0e952","987"
"xs25_0caabaa4z2553033","983"
"xs25_02lm0uiz69430346","976"
"xs25_6a8c88brzw69d11","974"
"xs25_xgbbob96z6a871","973"
"xs25_0g88ci96zol55lo","962"
"xs25_ciq3ob96z4aa6","955"
"xs25_08e1dagz69d1dd","949"
"xs25_08e1t2sgz69ll8","948"
"xs25_178baa4z0mk453z011","946"
"xs25_gbb8bb8oz12553","939"
"xs25_3lmgml3z346221","938"
"xs25_g84o0uhf0f96z011","936"
"xs25_ca9n8brz33032","935"
"xs25_69b88ciiczw6953","932"
"xs25_39e0o4koz0178b43","924"
"xs25_178baa4z064kl3zx11","918"
"xs25_j1u069e0eik8z11","913"
"xs25_0g8o6ll2z320fgp1","894"
"xs25_gad1eozdd1dd","888"
"xs25_xo4qabqicz3543","887"
"xs25_2lligz3kl443z1221","885"
"xs25_ml1u0uiz110743","881"
"xs25_8u1v0brz230321","880"
"xs25_4a9b8brz651311","874"
"xs25_8e1v0brz35521","874"
"xs25_69b8brz69l91","869"
"xs25_xcc0s2552z6511dd","864"
"xs25_caab9arz3553","863"
"xs25_0g88b96z3kl553z011","855"
"xs25_8e1vgkcz31eic","841"
"xs25_2llmz32qabgzx121","840"
"xs25_0g88bbgzold1dd","836"
"xs25_2lligz3kk543z1221","836"
"xs25_069acz359d1d96","828"
"xs25_0178baa4z178c453","826"
"xs25_xckggka52z0ggca6z321","826"
"xs25_rh6o8gzx347069a4","825"
"xs25_69b8baaczw6953","819"
"xs25_xgbbgn96z6a871","819"
"xs25_0ca9lmz6970743","815"
"xs25_069b8b96z6413033","814"
"xs25_0c88b96z6t1t6zw1","812"
"xs25_0caabgf9z651321","801"
"xs25_cc0s2u0u156zx1221","800"
"xs25_069b88gzci970743","797"
"xs25_35is0ca4zca43033","793"
"xs25_0cimge13z622qic","791"
"xs25_259a4o0o8brzx643","788"
"xs25_09f0c4oz69d1dd","786"
"xs25_039u0ml2z6a87011","783"
"xs25_31kmgmicz0346066","783"
