"apgcode","occurrences"
"xs28_0g8ka9m88gz122dia521","117038306"
"xs28_0caab96z321311d96","153426"
"xs28_69baa4oz69d1dd","112081"
"xs28_69b88c88b96zx33033","88870"
"xs28_xrhe0ehrz253y3352","64103"
"xs28_0g8ka96z1iidia4z3421","51737"
"xs28_4aab88a6z255d1156","32499"
"xs28_g88bbgz8llll8zx66","22247"
"xs28_25b8b96z4ad1d96","20382"
"xs28_4aarhe0ehraa4","15764"
"xs28_g88m9bqicz178b6","10590"
"xs28_w39u0u93z6511x1156","9917"
"xs28_0c9baab96zo8a513","8495"
"xs28_g88m9b88gz11078id221","8276"
"xs28_0ggmlhu0ooz3462ac","5948"
"xs28_3hu0uh3zc87078c","5604"
"xs28_0ok46164koz4aaq2sg","5334"
"xs28_c89n8b96z3543033","4663"
"xs28_69b88a6z69d1d96","4344"
"xs28_3lkmhe0e952z346","3736"
"xs28_699egmioz697066","3708"
"xs28_w69e0u156z6511dd","3354"
"xs28_g88g0g8o653zdlgf032","3350"
"xs28_0mlhe0ehlmz32y323","3168"
"xs28_69b8bb88a6zx3553","3148"
"xs28_4a9baacz259d553","3092"
"xs28_2llmggzhaq2qq1z01","2978"
"xs28_mmge1ege1ege2z1","2971"
"xs28_35a8c8a6zca513156","2943"
"xs28_c88baacz355d553","2834"
"xs28_ca1t2kmz330fgp1","2623"
"xs28_69b8b96z69d553","2586"
"xs28_g88mlligzdlhe2w1","2486"
"xs28_xg4s079e0eiczca611","2209"
"xs28_cicwg08o653zw19ll91","2194"
"xs28_8o0u93zqb0v066z011","1940"
"xs28_x6a88b96zg88m953z121","1919"
"xs28_69b8bbgz03h9ldzx1","1833"
"xs28_25a88b96z4a511d96","1819"
"xs28_09v0s2qrz321078c","1777"
"xs28_259acggzw3543032qr","1747"
"xs28_ggca9d2sgz034b953","1711"
"xs28_69acz2lll552z3421","1707"
"xs28_gbb8brzdd1dd","1612"
"xs28_651u0u156zw178b5","1368"
"xs28_660u1lmz69ld221","1148"
"xs28_xo8gehrzg8o643x352z01","1148"
"xs28_69b8b96z651315a4","1106"
"xs28_c88b96z355d1d96","1100"
"xs28_25a88gzy0raarz8ka221","1087"
"xs28_ggm552z1023c4o0e96zy111","1007"
"xs28_08e1v0brz6997011","986"
"xs28_651u0u156zw1785d","937"
"xs28_651u0u156zw358b5","920"
"xs28_69b8b96zw69d1156","912"
"xs28_0gilligz32w66078kk8","874"
"xs28_2llic88gz122ehld","852"
"xs28_178nhe0ehn871","822"
"xs28_69baab88a6zx3553","808"
"xs28_69b8bdz69d1db","807"
"xs28_0c88b96z69d11dik8","785"
"xs28_c89n8b96z3303453","754"
"xs28_0g8ka9mggz1221eip023","727"
"xs28_0mlligoz34622qic","723"
"xs28_69b88a6zw69d1d96","709"
"xs28_651u0oozw116aaqic","691"
"xs28_0cq2kl3z0ijc96z321","662"
"xs28_gbb8bbgz0dd1dd","656"
"xs28_g88ge996zdlgf033","618"
"xs28_ckgo1v0s4ozx6a8701","606"
"xs28_069bq2kozga60743z11","603"
"xs28_256o8gehrzx643x352","600"
"xs28_69b8bb88b52zx3213","583"
"xs28_69egmmggzx122qa96","546"
"xs28_cimgehbqiczx343","546"
"xs28_69b88a6z255ll3zx11","543"
"xs28_4aabaacz255d553","541"
"xs28_08e1t6zo4ie1e96z01","523"
"xs28_256o8gy0ok8zx6430ehr","512"
"xs28_oo1v0v1oozw47074","506"
"xs28_rbgv1eoz4aa611","499"
"xs28_g8geheg8gz121ehe121","493"
"xs28_gbbobbgz110ckld","489"
"xs28_69ic0cc0ck8zx5b8711","487"
