"apgcode","occurrences"
"xs12_g8o653z11","7450551702766"
"xs12_raar","19041315157"
"xs12_330f96","2309341110"
"xs12_330fho","2015878500"
"xs12_178c453","1483512241"
"xs12_178br","1481054700"
"xs12_3hu066","1385512836"
"xs12_256o8a6","574999229"
"xs12_2egm93","550013416"
"xs12_6960ui","542922309"
"xs12_o4q552z01","454418169"
"xs12_2egm96","434473829"
"xs12_0ggm96z32","368998387"
"xs12_0g8o652z121","233384137"
"xs12_69iczx113","215389650"
"xs12_g4q453z11","202293992"
"xs12_3123cko","131763074"
"xs12_31egma","122865697"
"xs12_651i4ozx11","101825290"
"xs12_0g8ka52z121","91045519"
"xs12_0ggm93z32","86662106"
"xs12_0g8o652z23","85506647"
"xs12_3560ui","47438216"
"xs12_6530f9","46143218"
"xs12_0ggs252z32","45388241"
"xs12_178kia4","33019559"
"xs12_32qj4c","22099875"
"xs12_3542ako","19434699"
"xs12_5b8ozx123","17268053"
"xs12_g8ka53z11","16176046"
"xs12_354qic","13567991"
"xs12_0g0s256z121","12133295"
"xs12_252sga6","11939404"
"xs12_08o653z32","11404967"
"xs12_0gbaa4z121","11263556"
"xs12_3215ako","11147979"
"xs12_31eozx123","11121833"
"xs12_0ggka52z32","10054181"
"xs12_0g8ka52z23","7567566"
"xs12_358m93","6913160"
"xs12_178c2ko","6720014"
"xs12_4ai3s4zx1","6538270"
"xs12_35icz65","6101165"
"xs12_178ka52","5954234"
"xs12_0g0s252z321","5696730"
"xs12_0g8ge13z23","5654803"
"xs12_g4q552z11","5607896"
"xs12_35iczx113","5463432"
"xs12_641j4czx11","4651157"
"xs12_drz346","4608467"
"xs12_4s0c93z11","4381704"
"xs12_642tic","3655093"
"xs12_0gila4z32","3166231"
"xs12_354cga6","2730975"
"xs12_3lozx352","2536129"
"xs12_69jzx1246","2227895"
"xs12_g88a53z23","2213779"
"xs12_03loz643","2128938"
"xs12_32qb8o","2085861"
"xs12_31eg8426","1889423"
"xs12_3pczw1246","1720155"
"xs12_358mic","1653613"
"xs12_32qczx113","1626194"
"xs12_39c0f9","1600701"
"xs12_358gka6","1531603"
"xs12_2ege123","1465340"
"xs12_628c0f9","1248052"
"xs12_3pcz643","1206333"
"xs12_25a8og8o","1143305"
"xs12_25a8og4c","916100"
"xs12_69jzx1ac","894266"
"xs12_0j96z346","763415"
"xs12_31460ui","666458"
"xs12_8ljgzx252","654915"
"xs12_0g8ka23z23","559027"
"xs12_4alla4","551472"
"xs12_312312ko","546749"
"xs12_0cq23z65","546019"
"xs12_17842156","541448"
"xs12_32akg84c","518575"
"xs12_178ka23","478097"
"xs12_g88b52z23","453163"
"xs12_32130f9","388774"
"xs12_0g8k871z23","388155"
"xs12_4ai3zx1246","385952"
"xs12_178k871","349032"
"xs12_31eg853","321297"
"xs12_321e853","295776"
"xs12_kc3213z11","293754"
"xs12_4ap3z65","271045"
"xs12_025iczca1","265507"
"xs12_ck3123z11","256392"
"xs12_ci52zw1246","245458"
"xs12_25iczw1252","245166"
"xs12_5b8og4c","211511"
"xs12_g853zdb","206113"
"xs12_25a842ac","167625"
"xs12_31230f9","162360"
"xs12_25akg84c","144765"
"xs12_08o6413z32","135849"
"xs12_17842ak8","134132"
"xs12_drz1226","118334"
"xs12_32132qk","115008"
"xs12_xg84213zca1","103567"
"xs12_1784c826","93825"
"xs12_3pczw1ac","85739"
"xs12_35861ac","81679"
"xs12_8o6413z32","73477"
"xs12_ghn84cz1","69118"
"xs12_358m96","65283"
"xs12_0ol3zca1","62971"
"xs12_0gjl8z56","60838"
"xs12_ck3146z11","54252"
"xs12_321f84c","34100"
"xs12_178421e8","27773"
"xs12_3123c4go","26958"
"xs12_4ai3zx1ac","21492"
"xs12_ggdbz65","19916"
"xs12_g8jdz56","13373"
"xs12_0ggc93z641","7491"
"xs12_358gzy012ko","6724"
