"apgcode","occurrences"
"xs18_rhe0ehr","17896151709"
"xs18_69is0si96","681917714"
"xs18_2egm9a4zx346","260778666"
"xs18_c4o0ehrz321","234396246"
"xs18_j1u0uh3z11","172904277"
"xs18_0mmge96z1221","164992426"
"xs18_3lk453z3443","125263934"
"xs18_8ehlmzw12452","98843641"
"xs18_69b88a6zw652","29924974"
"xs18_g88bbgz011dd","29034841"
"xs18_69b88cz2553","22628336"
"xs18_0c88b96z2553","20498304"
"xs18_354m453zw343","19726902"
"xs18_j1u0uicz11","19375149"
"xs18_gs2ib96z1221","18848029"
"xs18_ckggm952z066","17515592"
"xs18_0mllicz346","16101943"
"xs18_0mmge93z1221","14768693"
"xs18_gbbob96z11","14671527"
"xs18_gbbgn96z11","12543495"
"xs18_o8gehrz643","10549723"
"xs18_c88b96z3552","9067241"
"xs18_02596z69d113","8918311"
"xs18_69n8brzx11","8852571"
"xs18_69bo3qic","8657870"
"xs18_330fhu0oo","8593448"
"xs18_c89n871z311","8414760"
"xs18_259aczw359a4","8409269"
"xs18_69baa4ozx311","7821182"
"xs18_c88b96z3156","7679858"
"xs18_0c88b96z6513","7356266"
"xs18_gillmz1w643","6177590"
"xs18_69b88cz6513","6090865"
"xs18_m2s0si96z11","5836419"
"xs18_69baa4z653","5344290"
"xs18_g88bbgz0dd11","5237248"
"xs18_m2s079icz11","5103286"
"xs18_4alhe0e96","4825650"
"xs18_69egdbgzx121","4192260"
"xs18_ckgil96z066","3573550"
"xs18_mm0e96z1226","3345091"
"xs18_259aczx65156","3339942"
"xs18_259aczw4a953","3244148"
"xs18_gjlkmz1w643","3128602"
"xs18_69ir2qr","2930614"
"xs18_gbaqb96z11","2621114"
"xs18_4a9baaczx33","2599834"
"xs18_69baa4z2552","2599503"
"xs18_69js3pm","2485331"
"xs18_8e1t2sgz311","2247573"
"xs18_2596z311d96","2057739"
"xs18_0o8b96zog853","1915794"
"xs18_c88bqicz33","1906283"
"xs18_4aab96z2552","1856102"
"xs18_31ege96z0321","1632189"
"xs18_0c9b871z2552","1613947"
"xs18_0651u8z69521","1603271"
"xs18_4ap3qicz32","1442472"
"xs18_03lk453z6521","1409271"
"xs18_8kai3g8ozx343","1386050"
"xs18_035a4oz69d11","1364612"
"xs18_0mmge93z3201","1357131"
"xs18_wrb0796z321","1284113"
"xs18_259mggkczx66","1267346"
"xs18_69ar1qr","1121936"
"xs18_4a60uh32ac","1066337"
"xs18_31egmicz0321","1029494"
"xs18_69b8brzx32","1003918"
"xs18_69ar2qr","952607"
"xs18_0j1u0696z321","948342"
"xs18_62s0ci96z321","907485"
"xs18_ca9m4koz311","871419"
"xs18_gbbgf9z1221","870867"
"xs18_35is0si96","830283"
"xs18_32qr2qr","820488"
"xs18_g88m952sgz121","802517"
"xs18_0gbaarz3452","787695"
"xs18_69b88a6zw256","775594"
"xs18_312kozca22ac","770329"
"xs18_j1u06akoz11","726170"
"xs18_259aczw315ac","719391"
"xs18_gs2ll2z2543","673609"
"xs18_0g6p3qicz121","641333"
"xs18_09v0cia4z321","619400"
"xs18_mm0e952z56","617795"
"xs18_g88b96zd552","617136"
"xs18_62s0f96z321","614942"
"xs18_69araar","592147"
"xs18_4aq3ob5zw121","559443"
"xs18_j1u069icz11","547580"
"xs18_wmm0e96z643","526352"
"xs18_69mggkcz04a6","525748"
"xs18_0ml9ak8z3421","518153"
"xs18_ca9f033z33","517950"
"xs18_5b8b96z0352","510962"
"xs18_gbb8b52z123","498133"
"xs18_6a88brz0352","482590"
"xs18_69is079ic","469158"
"xs18_c4o79icz321","462549"
"xs18_259mggozwca6","447740"
"xs18_0h7ob96z321","435139"
"xs18_3lk64koz321","428742"
"xs18_h7o3qicz11","428016"
"xs18_39e0ehla4","419905"
"xs18_4aabaaczx33","419394"
"xs18_25b8b96zw33","411822"
"xs18_8kc0v1oozx23","403704"
"xs18_g6p2r9a4z11","401668"
"xs18_0g88bqicz343","400285"
"xs18_caaj2acz311","395289"
"xs18_ckggm96z4a6","387420"
"xs18_69baa4ozx321","371947"
"xs18_6t1mkiczw11","364797"
"xs18_02lligz652w23","361938"
"xs18_69a4z65115a4","348460"
"xs18_69arhar","338057"
"xs18_35is0si53","337098"
"xs18_g8ie0ehrz11","334894"
"xs18_4aab88a6zx33","332779"
"xs18_178bb8ozw33","325684"
"xs18_69ligkczw66","309722"
"xs18_3hu08kczw346","305837"
"xs18_33gv164ko","301108"
"xs18_mm0e96z1ac","299977"
"xs18_0c88b96zca23","290144"
"xs18_330fhu066","287604"
"xs18_ckggka53z066","284776"
"xs18_wg0siarz2543","281986"
"xs18_xo4k871z69521","278160"
"xs18_0gs2552z12ego","275400"
"xs18_mljgz1w69a4","270167"
"xs18_0j9mkicz1221","264729"
"xs18_3jgf96z321","264700"
"xs18_5b8b96zw253","257623"
"xs18_4a96z65115a4","256988"
"xs18_kq2r96z1221","252824"
"xs18_2ege1fgkc","247725"
"xs18_3hu08oz4a611","242349"
"xs18_69e0ehar","242081"
"xs18_02lligz256w23","235094"
"xs18_69argbr","235020"
"xs18_3iabqicz011","233468"
"xs18_69b8b52z033","227473"
"xs18_32hv0rr","227201"
"xs18_j9ab96z123","227145"
"xs18_39e0ooz0354c","219002"
"xs18_c88bpicz33","209457"
"xs18_259ab96zw33","207666"
"xs18_gbq1ticz11","206914"
"xs18_g8o653zd54c","206364"
"xs18_35s2djoz011","205358"
"xs18_3lkiacz3421","204097"
"xs18_2lligz32w652","200507"
"xs18_gbaqj96z11","196140"
"xs18_5b8b96z253","194505"
"xs18_09v0rrz32","190793"
"xs18_cillicz066","182288"
"xs18_69ic8a6z0643","181628"
"xs18_0g4s3qicz321","178054"
"xs18_4a9b88a6zx33","174307"
"xs18_6t1qb96zw1","173428"
"xs18_j5s2qrz11","173239"
"xs18_0j9mkk8z3421","167493"
"xs18_35a88a6z0653","166941"
"xs18_0j9m453z3421","162823"
"xs18_354mik8z0643","162523"
"xs18_c84kl3z3543","162016"
"xs18_2ll2sgz3443","161919"
"xs18_33gv1qr","159832"
"xs18_62s0fhoz321","157800"
"xs18_mmge1egoz1","157166"
"xs18_356o8zy0230f9","156853"
"xs18_31e88a53zw33","156647"
"xs18_178baa4zx253","155156"
"xs18_0gbbo8a6z321","155152"
"xs18_259aczy0359a4","155132"
"xs18_4aq3qicz023","153742"
"xs18_m2s079koz11","152855"
"xs18_02ege96z6521","151602"
"xs18_0gbb871z3452","151428"
"xs18_mm0e952z146","147019"
"xs18_wgbb871z2543","147003"
"xs18_35is079ic","145788"
"xs18_0ml9acz3443","145677"
"xs18_09v0cik8z321","144278"
"xs18_c4o0uh3z643","143899"
"xs18_g8o69a4z1254c","142483"
"xs18_0ogka53z4aa6","142030"
"xs18_6a88a53z653","139976"
"xs18_6421egu156","139086"
"xs18_64km996z0321","134263"
"xs18_rh6o8zx32ac","131209"
"xs18_0mligz32w25a4","130824"
"xs18_4aab871z253","130023"
"xs18_g8eht2sgz11","129279"
"xs18_gillicz1w66","128942"
"xs18_0mk2qrz643","127885"
"xs18_035a4z69d113","127453"
"xs18_0ggmd1e8z1226","125570"
"xs18_j9mkia4z121","125224"
"xs18_c9baacz0253","125039"
"xs18_069b8ozc8711","124896"
"xs18_qmgm96z66","124128"
"xs18_660uhf0cc","123611"
"xs18_178jd0e96","120285"
"xs18_069a4z4a51156","119831"
"xs18_178c1fgka4","118499"
"xs18_0mligz32w696","118182"
"xs18_2lla8cz3443","117801"
"xs18_39e0uizw643","117325"
"xs18_259a4ozc8711","116838"
"xs18_0gilmz32w696","116689"
"xs18_2ege1egma","116648"
"xs18_4aab96z653","113696"
"xs18_09v0ca52z321","113690"
"xs18_2egu1tic","113641"
"xs18_2lla8kcz1221","113140"
"xs18_gill2z1w69a4","111226"
"xs18_69b8jdz0311","111014"
"xs18_354mgm952zx1","109123"
"xs18_ci96zw11dik8","108461"
"xs18_cq2r96z1221","105343"
"xs18_mk4r96z1221","104931"
"xs18_4aab96z0356","102850"
"xs18_0c88a53z6996","102374"
"xs18_9v0sia4z23","102175"
"xs18_0gs2453z12ego","101330"
"xs18_69iczx19lic","99214"
"xs18_697079ar","97031"
"xs18_0gil96z3ego","96634"
"xs18_2lligkcz3201","94294"
"xs18_o4q2rq23z01","93973"
"xs18_mkhf0cicz1","93503"
"xs18_gbbo31e8z11","93484"
"xs18_2530fho8a6","93425"
"xs18_33gv1oka4","92964"
"xs18_3iakgkcz3421","91559"
"xs18_0ggm952z3ego","91439"
"xs18_mll2z1025ac","89742"
"xs18_0c88brz2596","89348"
"xs18_04aab96z3113","89169"
"xs18_o8b96zx3596","87109"
"xs18_0oggm952z4aa4","86764"
"xs18_6io0ep3z1221","86671"
"xs18_0c88brz6952","85889"
"xs18_32qr1qr","85416"
"xs18_660uh3z653","85302"
"xs18_rh6o8zx34a6","85255"
"xs18_g8o0e96z1254c","85111"
"xs18_02lligz643w23","83651"
"xs18_2llmz320256","82959"
"xs18_06996z3115ac","80057"
"xs18_660u93z6521","79585"
"xs18_696o653z065","79506"
"xs18_69ar8br","79180"
"xs18_35a8czx65156","79140"
"xs18_3iabaa4z0123","78937"
"xs18_352s0ccz6521","78418"
"xs18_259aczy0315ac","77969"
"xs18_4aab96zw653","76892"
"xs18_0oggm96zcia4","76719"
"xs18_69baaczw652","76278"
"xs18_0o8b96zok96","76236"
"xs18_c88ml2z3543","76052"
"xs18_25a88cz4a5113","75588"
"xs18_cill2zx69a4","75369"
"xs18_4s0si96z643","75029"
"xs18_wmm0e93z643","74440"
"xs18_0gjlkia4z3201","74433"
"xs18_31ege93z0321","73741"
"xs18_25a88brzw33","73353"
"xs18_697o796zw11","73195"
"xs18_354mkk8z0643","72786"
"xs18_wmmge13z643","72699"
"xs18_09v0c871z321","71110"
"xs18_69ba952z033","70471"
"xs18_31ege132ac","70387"
"xs18_0c88b52z6996","69686"
"xs18_ckggka52z4a6","69523"
"xs18_25a4ozx6b871","69445"
"xs18_035a8oz69d11","69199"
"xs18_0oggm96z4aic","68276"
"xs18_0ogil96z4aa4","67625"
"xs18_69ligoz04aa4","67582"
"xs18_31egogkczx66","66810"
"xs18_69akgkcz0643","65878"
"xs18_pf0sia4z023","65318"
"xs18_2l2s0sicz121","65183"
"xs18_02ll2sgz2543","65094"
"xs18_gg0s2qrz0343","63446"
"xs18_6a88brz253","63053"
"xs18_6t1u0uizw1","61729"
"xs18_4aab88czw2552","59079"
"xs18_3lkaacz1243","57747"
"xs18_j1u0ojdz11","57522"
"xs18_wrb079cz321","56901"
"xs18_bq1ticz23","56692"
"xs18_mllmz1w346","56647"
"xs18_mkl3z1025ac","56447"
"xs18_w3lk453z4a43","56149"
"xs18_mljgf9z1w1","54458"
"xs18_gbbo3tgz011","54161"
"xs18_02llicz69a4","54008"
"xs18_0ca2s53z6511","53401"
"xs18_6is0siar","53219"
"xs18_c970s4ozw6221","52031"
"xs18_g8ob96zpic","51847"
"xs18_2llm853z32","51494"
"xs18_25a84koz02553","50683"
"xs18_69fgkcz253","50239"
"xs18_31eozw122qr","49993"
"xs18_xokc0f9z653","49394"
"xs18_69mggka4zw66","49052"
"xs18_j5q4oge2z11","48981"
"xs18_69e0uizw643","48528"
"xs18_rh6o8zx34ac","48111"
"xs18_0bq1dicz321","47271"
"xs18_4aq3ckoz321","45954"
"xs18_039u0ooz4a43","45932"
"xs18_ck0v1qrzw1","45807"
"xs18_0c9b871z653","45778"
"xs18_g8o0e93z1254c","45311"
"xs18_g9fgf9z1221","45065"
"xs18_4aab9aczx33","44983"
"xs18_04a96z311dic","44875"
"xs18_35a88gzcid11","44705"
"xs18_35a8czw4a953","44553"
"xs18_04a96zcid113","43237"
"xs18_w3pm453z253","43146"
"xs18_0g88bpicz343","43050"
"xs18_069b8ozca511","42940"
"xs18_8u1uge2z23","42900"
"xs18_4aar1u8zx121","42876"
"xs18_39eg8ozca43","42356"
"xs18_c89f033z352","41439"
"xs18_mligoz104aa4","41410"
"xs18_660u1daz0321","40969"
"xs18_3pm4kozw343","40944"
"xs18_35a88gzoid11","40236"
"xs18_xgbqiczca23","40180"
"xs18_g84213zdlge2","39408"
"xs18_69b8b5z253","39358"
"xs18_4ad1egm96","39100"
"xs18_178f1ege2","39018"
"xs18_3hu0ok8z643","38899"
"xs18_g88ml2zd543","38560"
"xs18_2lmgmaz346","38419"
"xs18_g88r2qrz121","38289"
"xs18_04a96z4a51156","38168"
"xs18_25a84ozcid11","38154"
"xs18_069a4ozcid11","38132"
"xs18_33gv1o8a6","37549"
"xs18_mllmz1w256","37132"
"xs18_39u08ka4z321","36725"
"xs18_25a8ohf033","36399"
"xs18_31eozw32qic","36260"
"xs18_358e1fgkc","36011"
"xs18_0g8o652z23cic","35969"
"xs18_0mligz32w69c","35594"
"xs18_mkie0e96z1","35239"
"xs18_3pq32qr","34828"
"xs18_3p6gzw123cko","34697"
"xs18_354mkia4zw32","34441"
"xs18_xg8ka53zca611","34196"
"xs18_g6p3qp3z11","33456"
"xs18_4a9egoz0354c","33403"
"xs18_25a8cicz06511","33402"
"xs18_3iaj2acz321","33327"
"xs18_312kmicz0643","33226"
"xs18_w6a8a53z6513","33186"
"xs18_699eg6qzx121","33092"
"xs18_39egeiczw23","32997"
"xs18_3iabpicz011","32550"
"xs18_3pmzw34aik8","32254"
"xs18_0c88e13z6996","31922"
"xs18_mkhf0ckoz1","31737"
"xs18_03lkmicz3201","31731"
"xs18_3iab9a4z0123","31698"
"xs18_xohf033z653","31674"
"xs18_0ogka53zca26","31629"
"xs18_wml1egoz643","31437"
"xs18_312kozw122qic","31394"
"xs18_gbbo3tgz11","31253"
"xs18_0o4ai3z35871","31053"
"xs18_31ekhf033","30643"
"xs18_ciab96z643","30466"
"xs18_gjlkicz1w66","30352"
"xs18_35s2qb8ozx1","30308"
"xs18_06996z31178c","30219"
"xs18_32as0sicz032","30195"
"xs18_0okk871z4aa6","30084"
"xs18_0mkkb96z1221","29907"
"xs18_wggs2qrz652","29719"
"xs18_5bo796zw123","29096"
"xs18_354mk46z0643","29067"
"xs18_g8eh5egoz121","28985"
"xs18_31ege1dic","28872"
"xs18_okkm952z66","28690"
"xs18_rbgf1e8z01","28672"
"xs18_8ehbaiczw121","28617"
"xs18_0mkid96z3201","28587"
"xs18_0mmgdbz3421","28240"
"xs18_wggs2qrz256","28178"
"xs18_39u0ok8z643","27991"
"xs18_0651u8zca521","27986"
"xs18_g88riicz1226","27916"
"xs18_gjlkkoz1246","27865"
"xs18_35akggkczx66","27600"
"xs18_69ariar","27346"
"xs18_4aq3qicz32","27150"
"xs18_0ca1u8z69521","27117"
"xs18_69iraar","26888"
