"apgcode","occurrences"
"xs20_3lkkl3z32w23","2386688655"
"xs20_6a88b96z2553","12127618"
"xs20_259aczw311d96","7377465"
"xs20_4a9n8brzx121","6995447"
"xs20_697ob96z0321","6441032"
"xs20_gbbo79cz1221","6247666"
"xs20_651u0oozw178c","5977245"
"xs20_354mggzx1023cko","4992653"
"xs20_39u0mmz321011","3354933"
"xs20_69b88a6z2553","3088867"
"xs20_0mlhegoz3443","2984003"
"xs20_0cc0si96z2553","2612951"
"xs20_g6p3sj96z11","2558576"
"xs20_69egmicz0643","1886029"
"xs20_4a9b8b96zx33","1741710"
"xs20_69mgmiczx4a6","1635999"
"xs20_4aab9a4z2553","1626823"
"xs20_caakl3z3543","1493504"
"xs20_mlhe8z102596","1477564"
"xs20_0c88b96z65156","1341466"
"xs20_259mgmiczx66","1341275"
"xs20_c88b96z359a4","1231449"
"xs20_cid96zw11d96","1100897"
"xs20_ca9licz3543","1073139"
"xs20_0gjlk453z32w23","1050289"
"xs20_0gillmz346w23","1049646"
"xs20_0gillmz32w643","977240"
"xs20_3lkkmicz3201","973751"
"xs20_69baacz2553","965489"
"xs20_mlhe0eik8z1","933693"
"xs20_69acz69d1e8","920530"
"xs20_04a96zcid1156","917940"
"xs20_wrb079icz321","893886"
"xs20_69e0mmz03543","841282"
"xs20_69mggzw2egnc","816852"
"xs20_69b8brz253","813935"
"xs20_4a9baa4z2553","795639"
"xs20_0cc0si96z6513","779434"
"xs20_4aab96z6996","704771"
"xs20_0mmge952z3421","688625"
"xs20_02596z6511d96","680228"
"xs20_9f0v1eozx121","677349"
"xs20_gbbo3qicz11","655992"
"xs20_ca9bqicz33","655406"
"xs20_259acz311d96","582007"
"xs20_39u0e952z321","574539"
"xs20_02596z69d1156","573796"
"xs20_6a88bqicz033","553379"
"xs20_w4s3qicz3543","542562"
"xs20_6a88b96z6513","508304"
"xs20_gt3ob96z1221","496648"
"xs20_04aab871zc871","489667"
"xs20_39u0eik8z321","471804"
"xs20_g88r3ob96z11","460390"
"xs20_caab96z3552","435266"
"xs20_2596z355d96","426098"
"xs20_2lmgmmz346w1","418430"
"xs20_g8e1t6zdd11","417772"
"xs20_caabqicz33","416204"
"xs20_gbbo796z1221","414859"
"xs20_gbbgf96z1221","402955"
"xs20_69b8b96zw256","394880"
"xs20_69b8brz0352","390457"
"xs20_4aabaa4z2553","354635"
"xs20_cimge96z6421","350780"
"xs20_6t1688gzw11dd","346810"
"xs20_8e1mkk8z3543","341495"
"xs20_69bq2kozx643","340729"
"xs20_4aab8brzx321","332556"
"xs20_0ad1eoz69d11","329655"
"xs20_08e1ticz6513","321551"
"xs20_069b88cz4a953","320721"
"xs20_g8o0ehrz1254c","319898"
"xs20_069b88czca513","309394"
"xs20_3pmgm96zx66","295183"
"xs20_2llmz122qr","293819"
"xs20_69mgmiczw6a4","293185"
"xs20_0mmgml2z346w1","292887"
"xs20_69b88a6z6513","284853"
"xs20_g8e1t6z11dd","284322"
"xs20_69b88brzx321","281591"
"xs20_0ca23z255d1e8","275077"
"xs20_3lkm996z1221","264263"
"xs20_caab96z3156","259228"
"xs20_2llmz1qq23","243099"
"xs20_04aab96z3553","233034"
"xs20_8kkm1mkk8zx121","232851"
"xs20_3lkljgz346w1","229787"
"xs20_ci96z0o5l96zw1","228229"
"xs20_2lligz1qq221","223223"
"xs20_39egmicz0643","222056"
"xs20_0gjlkmz32w643","221251"
"xs20_65ligzw1023cko","220070"
"xs20_2llmzrq221","218143"
"xs20_gad1eoz011dd","207614"
"xs20_651u0ooz3543","203485"
"xs20_4aab8b96zx33","201436"
"xs20_ckgil96z4aa4","192241"
"xs20_gbaq3qicz11","186523"
"xs20_255mggzx1023cko","184261"
"xs20_2552s0gzy1123cko","181914"
"xs20_g88bbgz0d55d","178106"
"xs20_okiqb96z66","176662"
"xs20_0gilmz12iaq1zx1","174895"
"xs20_2llmz32w32ac","173239"
"xs20_69baa4ozw6511","171350"
"xs20_35a8czw311d96","165452"
"xs20_356o8gzciq221","163693"
"xs20_g08o653zd5lo","160635"
"xs20_0c88brz69d11","157855"
"xs20_0caab96z2553","156110"
"xs20_ca9e0eicz33","154428"
"xs20_69e0uiz03543","152123"
"xs20_4a9baa4zw2553","149976"
"xs20_cimgm952z066","148003"
"xs20_2596o696zx343","146623"
"xs20_0gjlkmz346w23","144578"
"xs20_0caab96z6513","142847"
"xs20_0cc0si53z2553","135497"
"xs20_raarhar","134998"
"xs20_2ll68oz345d","131877"
"xs20_69b8n96z0311","131442"
"xs20_03lkkl3z256w1","131323"
"xs20_raaraar","130559"
