"apgcode","occurrences"
"yl4608_1_1244_cf29d2238266d6cb3db1fcb3f570a956","1"
"yl4608_1_1441_d3bf1b6ce3bffddb4d822534eb3ec85b","1"
"yl4608_1_1452_d01c0a0174c190a0573624e8ce6ecefa","1"
"yl4608_1_1871_b8ccb3228ec363645dc81265e703607d","1"
"yl4608_1_2561_cce66d7b3ac333e72a1721d8e830795a","1"
"yl4608_1_2958_3e76192be47e0adb8ef246f3dbf08d1b","1"
"yl4608_1_2958_6b13dac436c60da205d3f3ec20ae89cc","1"
"yl4608_1_2958_cc3d89ae678d298bbe321cd2eb83af71","1"
"yl4608_1_3422_bc77240e197a458056fa5b28ae67a5dc","1"
"yl4608_1_3422_cbc5e69f9a8e9f255b910c3fa0ac68b1","1"
"yl4608_2015_11_28","1"
"yl4608_6_15946_8f99662a4e8ef0ede4906b5e0af57bf4","1"
"yl4608_6_15946_a0567cd9c22dc426501cb8770b0c83f1","1"
