"apgcode","occurrences"
"xs26_69b88a6z69d1156","2460685"
"xs26_c88baacz311d553","951833"
"xs26_259mkk8zg84qaa4z011","543203"
"xs26_g88ml1eoz178a611","313002"
"xs26_69baacz69d553","157949"
"xs26_69e0u1u0e96zy0121","63412"
"xs26_69b88cz69d1d96","59748"
"xs26_35is0si53zw65056","49898"
"xs26_g84q55q4oz01169521","49238"
"xs26_0ggo0u156z122egld","41375"
"xs26_g88m5he8gz0116a871","38638"
"xs26_ciljgozciai26zw11","33191"
"xs26_69baiczw69aqic","28545"
"xs26_69ab9cz695d93","28011"
"xs26_03lkkl3zcnge21","21608"
"xs26_5b8b96zad1d96","17927"
"xs26_o4ie0ehlmz01y2696","17025"
"xs26_j1u06960u1jz11y311","15392"
"xs26_c8allicz315aa6","14436"
"xs26_69b88czw69d1d96","14279"
"xs26_39u0u93z6430346","12870"
"xs26_651u0o8gzw110122dik8","12537"
"xs26_6a88b9cz6511d93","11848"
"xs26_3lkkl3z34606jo","11641"
"xs26_03l2c88gzw1pl91z253","10883"
"xs26_4a9eg8kk8z0178b43","10300"
"xs26_69b88cz2ll553z011","10114"
"xs26_xca9bqicz651156","10100"
"xs26_g88e1t6zdd1dd","9644"
"xs26_69ak8gzxhaab8ozx123","9521"
"xs26_0mlhegoz3egnc","8960"
"xs26_69b88c0siczx3553","7943"
"xs26_0c88b96z2ll553z011","7734"
"xs26_gbb8brzo5l91z01","7515"
"xs26_c88b96z355d553","7045"
"xs26_4a9baa4z259d552","6460"
"xs26_69b88cz69d1178c","6249"
"xs26_33gv1c88gzw6a8711","6190"
"xs26_mkiarhe0eicz1","5978"
"xs26_g88gu1688gz11wojd11","5308"
"xs26_mkiarhe0e96z1","5208"
"xs26_03lk453z47oabgzx11","4936"
"xs26_330fhe0ehf033","4911"
"xs26_0ml1u8z347078a6","4703"
"xs26_69bo3qq3qic","4595"
"xs26_0mlhe0eioz34aa4","4403"
"xs26_c82t1e8gz314b871","4309"
"xs26_069b8b96z311d96","4133"
"xs26_c4o0o4o0u1jz643w1x11","4101"
"xs26_660uhe0ehu066","4059"
"xs26_4a9b8b96z651156","3706"
"xs26_69b8bqicz6996","3690"
"xs26_69mggkczo4q22acz01","3678"
"xs26_035ac0sicz69d113","3505"
"xs26_039u0o8zca230fio","3474"
"xs26_caakl3z330fgkc","3462"
"xs26_09v0rbz321078a6","3407"
"xs26_w3lkkl3zg89q221z11","3264"
"xs26_08o6ll2zoif0dd","3003"
"xs26_08e1e8z69lld113","2958"
"xs26_ca9lmzdj87074","2929"
"xs26_0gg0g88m952z8llc321","2846"
"xs26_352s0s2aczw1pgf2","2740"
"xs26_g6p7gn96zd543","2718"
"xs26_069p6gmicz6a8701","2716"
"xs26_259aczcit1tic","2658"
"xs26_03lkl3z69e0e96","2623"
"xs26_rhe0o4o0ehrzy0121","2606"
"xs26_651u0o4kozwdb074","2549"
"xs26_x9v0v9z6511x1156","2525"
"xs26_0gilmgmicz346066","2482"
"xs26_0g8o0ehv0rrz1221","2458"
"xs26_g88mll2zdlhe21","2404"
"xs26_354c84s0siczx3543","2281"
"xs26_0696z3lll56z3421","2249"
"xs26_259acz359d1d96","2143"
"xs26_39u0ehrz321y0352","2140"
"xs26_256o808ozxol5d4ko","2128"
"xs26_g8e1t2sgz0178b43","2039"
"xs26_69b88c0c8a6zx33033","2036"
"xs26_259mkkmiczw4aa6","2007"
"xs26_651u08oz69e1dd","2005"
"xs26_ca2s0s2qb96zw23w1","1972"
"xs26_cic871zo4qb952z01","1965"
"xs26_0ca9bob96z6996","1962"
"xs26_660u1lmz17870121","1938"
"xs26_259acz355d1d96","1889"
"xs26_caariicz31eic","1812"
"xs26_25akoz32qq2qic","1809"
"xs26_69b8bb8ozw69d11","1728"
"xs26_w4s0s2qb96z3543w1","1721"
"xs26_35is0ggzckgf0dd","1715"
"xs26_0mllmge96z346w1","1667"
"xs26_08e1uge1e8z6953","1658"
"xs26_0mligoz122qq22ac","1622"
"xs26_651u0e970si6zw11","1614"
"xs26_3lkkl3z32qq23","1595"
"xs26_g8ehlmzdlhe21","1585"
"xs26_69baacz6511d96","1572"
"xs26_0259acz69d1d553","1569"
"xs26_69b88a6z69d553","1547"
"xs26_259egmmzy0124b871","1545"
"xs26_0g6t1uge1daz321","1537"
"xs26_39u0e9jz06b871","1530"
"xs26_69a4z69d996zw2552","1521"
"xs26_08o0u156zoif0dd","1489"
"xs26_c88b96z358e1db","1487"
"xs26_062s0f9gz35430f9","1486"
"xs26_o4a51u08oz011d9611","1479"
"xs26_69baaczml552z11","1462"
"xs26_cis0f92sgzx3553","1447"
"xs26_4s0gilmzw12egm96","1431"
"xs26_g88ehlmz1230eip","1428"
"xs26_3lkkl3z3egmd","1420"
"xs26_0ca9b8b5z6513113","1410"
"xs26_c88bb8b96z33w33","1408"
"xs26_oggmlhe0e96zw66","1400"
"xs26_259e0ehv0rr","1390"
"xs26_699egmicz0359a4","1371"
"xs26_0ggmll2zhaaq221z011","1355"
"xs26_69ab88cz695d113","1355"
"xs26_178b96k4ozx69d11","1307"
"xs26_0giu0uhe0e96z32","1297"
"xs26_03lk453zgbao74z011","1283"
"xs26_0ml1u8z34b87066","1279"
"xs26_178baa4zy09f0cia4","1275"
"xs26_2lla8c4oz345c321","1268"
"xs26_j1u0uhe0e96z11","1267"
"xs26_c9baacz39d553","1224"
"xs26_4a9b8bqicz6513","1221"
"xs26_0178bbgz69d1dd","1212"
"xs26_0rb8brzck5p1zw1","1198"
"xs26_g08o0u1jz1pl4ko11","1170"
"xs26_0g8e13zoo1vgc453","1169"
"xs26_0mligoz1qq2qic","1157"
"xs26_raikmiczca2ac","1113"
"xs26_69b8fhe8z035521","1093"
"xs26_w3pmz3iaq2qiczw1","1093"
"xs26_69b88c2qk8zx3553","1089"
"xs26_6s1v0rrz3543","1086"
"xs26_j9e0o4koz0178b43","1074"
"xs26_069b8bdz64132156","1071"
"xs26_69b8b9a4z651156","1060"
"xs26_0j1u0696zol54ko","1059"
"xs26_3lkkl3z346069a4","1058"
"xs26_69p6o8gzcijc321","1037"
"xs26_69b88a6z6511d96","1036"
"xs26_32qjkczggmiacz1w1","1032"
"xs26_0mlhe8z346079ic","1004"
"xs26_651u08oz697079c","1004"
"xs26_39e0o4koz0db0743","998"
"xs26_br0raarz230321","990"
"xs26_62s0ciq3qicz321","988"
"xs26_2ll2sgz6430fgkc","978"
"xs26_0mligzhaq2qrz11","969"
"xs26_g8o64213kcz11wokc32","965"
"xs26_0ggmmgmp3z346066","959"
"xs26_3lo0o8gzciq2qq1","959"
"xs26_35is0si53zw47074","955"
"xs26_8o0u1jgz230fgld","953"
"xs26_w69aczo4id11d96z01","945"
"xs26_2llmggzrq22643","935"
"xs26_caar4koz178b43","917"
"xs26_mm0u93z12470696","902"
"xs26_ml1u0696z11079c","898"
"xs26_0o8ge996zckgf033","892"
"xs26_069b8b96z8e13033","886"
"xs26_031egmicz2597066","877"
"xs26_ca1u8z330fgm96","869"
"xs26_cc0s2arz330fho","866"
"xs26_0caabob96z6996","854"
"xs26_0ca9lmz2530fgkc","845"
"xs26_069acz4a9llmzx1221","841"
"xs26_69ab96z695d96","839"
"xs26_4aab8b96z651156","837"
"xs26_32ar4koz6a87066","830"
"xs26_069b8b96z4a53033","818"
"xs26_651u0ooz330fge2","818"
"xs26_0o8g0g8o653zckgf032","808"
"xs26_ca9licz330fgkc","807"
"xs26_ciqb0brz06a871","801"
"xs26_g8e1lmz11dlge3","799"
"xs26_69baa4oz6511dd","788"
"xs26_0ggojbo3qicz346","786"
"xs26_8e1lmz355lk3zx11","775"
"xs26_3lkmik8z34606ac","771"
"xs26_okkmhu069a4zw66","770"
"xs26_0jhe88b96z343033","761"
"xs26_69b88a6zw69d1156","750"
"xs26_ciu0e93zx311d96","748"
"xs26_69baiczg88ba4z123","740"
"xs26_6a8ohf0fho8a6","732"
"xs26_ca2s0s2qb96zx1221","728"
"xs26_0o8wci96zwhhldz643","726"
"xs26_35a8kkozci97066","724"
"xs26_g89f0fhe0eicz11","724"
"xs26_69b8bb88czx3553","720"
"xs26_69b88gzw69d1eik8","719"
"xs26_0ml1e8z347079ic","718"
"xs26_0c88b96z0gilicz346","716"
"xs26_j1u0u1u0696z11x1","710"
"xs26_ca5lmzdj87074","703"
"xs26_3l2s0ccz32107996","694"
"xs26_2egm6gu156zx3452","693"
"xs26_35a8cz359d1d96","693"
"xs26_3lkiacz34430eio","689"
"xs26_0o80u156zoif0dd","685"
"xs26_g84s0c88a53z0116953","685"
"xs26_0mligz1qq2qb8o","684"
"xs26_j1u0u2ggz11x1078a6","682"
"xs26_cimge1dicz4aa6","681"
"xs26_69b88cz255ll3zx11","672"
"xs26_0ggmlhu0ooz3204ac","668"
"xs26_06996z0mll552z1221","662"
"xs26_2lmgml2z12ege21","662"
"xs26_g8kkmge96z12268d","658"
"xs26_0rhe0e96zca22ac","653"
"xs26_3lkmkkmz3460641","645"
"xs26_69baa4ozx35430352","638"
"xs26_g6pb8oge132acz11","636"
"xs26_69b88c4gozw259b43","634"
"xs26_g88c2t52zdd1dd","634"
"xs26_178b9a4z8e1d952","632"
"xs26_69baaczw69d553","632"
"xs26_j1u0uhe0eicz11","629"
"xs26_o8g0s2ibpicz643w1","628"
"xs26_2egm97079mge2","626"
"xs26_g88ml3zdd0fgkc","619"
"xs26_3lkkl3z3460uj","618"
"xs26_8e1v0c4oz178b421","616"
"xs26_g88r3ob96z11078c","609"
"xs26_69b8bpicz6996","597"
"xs26_ca9lmzdjo743","597"
"xs26_2lligz12ege1ego","578"
"xs26_cimggojd4kozx66","578"
"xs26_g88mkl3zdlhe21","575"
"xs26_y2g8o653z6a88a521zx33","570"
"xs26_32qc0s2aczxdll8","567"
"xs26_j1u0o4s0si96z11x1","567"
"xs26_0o80u156zoif0db","562"
"xs26_g8oggm96z1iu0ui","560"
"xs26_25ac0c4oz069d1dd","558"
"xs26_gg2u0ehe0e96z1221","552"
"xs26_0oo0u156zoie0dd","550"
"xs26_ca1v0ca4z3303453","549"
"xs26_cimgehm4kozx343","548"
"xs26_25a8c8a6z4a513156","545"
"xs26_69b8blicz03553","541"
"xs26_0ca96z69d1ege13","540"
"xs26_ml1u0uh3z102543","540"
"xs26_39e0uh3zc97074","533"
"xs26_69b8baaczw65156","532"
"xs26_0caab8oz69d1dd","527"
"xs26_8e1u0mmz178b43","524"
"xs26_3lk453z3egf033","523"
"xs26_8e1v0rbgz3543w1","522"
"xs26_39egmmz6970643","518"
"xs26_3lkk5jz122cll8","518"
"xs26_3lkkl3z32w25ako","517"
"xs26_ok4o1v0rrzx343","517"
"xs26_2ll6o8gz8llc321","511"
"xs26_69is0s4zwckgf033","503"
"xs26_69b88cgcik8zx3543","502"
"xs26_c88b9acz311d953","500"
"xs26_69acz69d1ege13","498"
"xs26_259ar0v1u0oozy31","497"
"xs26_699e0ei4ozw259611","496"
"xs26_69b88cz25t1eozx11","496"
"xs26_gilmgmicz1w6aa6","491"
"xs26_o4o0u19e0eicz01w32","491"
"xs26_c897079koz315ac","490"
"xs26_2egm93g8kk8zx3453","484"
"xs26_651u0oozw11622qic","483"
"xs26_69b88czciqb952","483"
"xs26_3lkm453z3ege3","482"
"xs26_660uhmkk8zx66066","481"
"xs26_69b88c0si6zx3553","479"
"xs26_c89fgn96z3553","476"
"xs26_wj1u0u1jz2521x1252","476"
"xs26_39e0u1jz6997011","472"
"xs26_069bq2koz4a60743","467"
"xs26_69egmicz697066","465"
"xs26_69ege2s0sia4zx121","464"
"xs26_69ak8gzx1qq3oggzy523","463"
"xs26_69b8b9aczw65156","463"
"xs26_3lkmggmicz32w66","462"
"xs26_6a88bbgz03h9ldzx1","460"
"xs26_69b87picz03553","452"
"xs26_xcc0si96z69d553","451"
"xs26_069n8brzcia611","449"
"xs26_g88bb88gz1259hld","449"
"xs26_2llmggzhaaq221z11","447"
"xs26_g39eg8gzdlld221","441"
"xs26_wg04s079iczck59hzw11","441"
"xs26_w8o0u1u0ooz6a87011","434"
"xs26_g88ge996z1pgf033","432"
"xs26_069b88czg88m953z121","429"
"xs26_gs2u0696z66079c","427"
"xs26_0okihf033zca22ac","421"
"xs26_03lk453zg89a96z123","420"
"xs26_660u1lmz330f811","420"
"xs26_g08e1t6zdl59hzw11","415"
"xs26_651u08oz69f0dd","412"
"xs26_69b8baa4z651156","411"
"xs26_0259mggz0ggs2qq1z32","410"
"xs26_39u0u1lmzw12543","410"
"xs26_ml1egmicz12596","410"
"xs26_0ca9b88a6z69d113","409"
"xs26_08o0u156zoif0f9","407"
"xs26_0c9b8b96z6513113","407"
"xs26_69b88gz69d1eip","401"
"xs26_69b8b9czx3113156","399"
"xs26_69b8b96z033w3156","398"
"xs26_iu0u93z66078a6","398"
"xs26_j1u0ohf0fhoz11","398"
"xs26_y1j1u0ooz354kl21zx11","398"
"xs26_354c0cczx69d1d96","395"
"xs26_69960u156z69d11","392"
"xs26_cid1egmiczx62ac","392"
"xs26_cic88b96zwh1t6zw11","391"
"xs26_0gbb88micz6b871","389"
"xs26_8e1lmz9f0fgkc","389"
"xs26_xcc0s2596z6511dd","387"
"xs26_0ml1u8zc96078a6","385"
"xs26_0cc0ci53z69d1dd","384"
"xs26_0354koz699622qic","383"
"xs26_08e1v0rrz65123","383"
"xs26_069b8brz311dic","380"
"xs26_0gjl453z1qc0nczw11","380"
"xs26_2egmkkm93zx4aa6","379"
"xs26_rharhe0ehr","378"
"xs26_wggci96z2lkjgz32w23","378"
"xs26_69b88brz0178b6","371"
"xs26_178b5kmiczw3543","368"
"xs26_03hu0ep3z6aa611","367"
"xs26_ciegehm4kozx343","365"
"xs26_8kkm1v0rrzx123","359"
"xs26_3lkkljgz346w643","358"
"xs26_4a9e0o4kozw69d443","358"
"xs26_3lkmgmmz3460641","357"
"xs26_0okimge96zciic01","355"
"xs26_g0s26gu1lmz11y2346","354"
"xs26_0ad1u8zc97078a6","353"
"xs26_0cic88b96z6aa513","348"
"xs26_bt0u1lmz2303421","348"
"xs26_iu0u93z6a87066","347"
"xs26_3lkmhmkk8z346w1","341"
"xs26_j1u069bob96z11","341"
"xs26_0oo0u156zcie0dd","340"
"xs26_660u1fo3qiczy011","340"
"xs26_xoie0ehrzca22ac","338"
"xs26_2egma88b96zx3453","337"
"xs26_w2llmzg6p2qq1z11","337"
"xs26_6960u1u0oozx3543","333"
"xs26_0ml1u8zc87078a6","332"
"xs26_0okihf0cczca22ac","331"
"xs26_354s0v1oozwd543","331"
"xs26_259aczgill56z1221","330"
"xs26_w69mggzg6q4oge3z11","330"
"xs26_0oo0u156zoie0f9","329"
"xs26_69mggzw6a87079ic","328"
"xs26_354mkkmzw3460696","327"
"xs26_356o8gzy01qabqic","327"
"xs26_4a9baa4oz0355d11","327"
"xs26_69acz255l552zw343","327"
"xs26_03hu066zg4s3453z11","325"
"xs26_0gbaabgz08l5521z321","322"
"xs26_2lmgmmz12egmd","322"
"xs26_0ggml1u0ok8z346221","321"
"xs26_g88b9q3ob96z123","321"
"xs26_0c4o0u156z6607853","317"
"xs26_08kiq32acz622qic","315"
"xs26_0gs2pmz1qq2qic","315"
"xs26_69ic0c48gzxdd1dd","315"
"xs26_j1u06akgoz11y22596","315"
"xs26_4a96z69d996zw2552","314"
"xs26_8o0u1u8z320fgf2","314"
"xs26_ciqb0brz4aa611","314"
"xs26_3lk2qczw344dhr","313"
"xs26_4a96z699b96zw2552","311"
"xs26_69acggz69d1eip","308"
"xs26_g88c2s0si96z011dd","307"
"xs26_gbb8bbgz01p5p1zx1","301"
"xs26_g88hf0cicz123cik8","300"
"xs26_0ggml1u06a4z346221","297"
"xs26_caabo7picz352","296"
"xs26_ggm9b8b96z102553","296"
"xs26_4a96z699d96z2552","295"
"xs26_caar2qcz3543032","295"
"xs26_259a4ozcill5ozx11","293"
"xs26_mm0u1ego8a6z1221","293"
"xs26_8o0u1jgz320fgld","292"
"xs26_g39e0uiczdd113","292"
"xs26_0ca9b8oz69d1dd","291"
"xs26_0gilligz1qq22643","291"
"xs26_0g88mll2z8lld221","290"
"xs26_0mlhe0e96z3ego","290"
"xs26_35a8c88b96zx6953","289"
"xs26_g88c8a53zdlka53","289"
"xs26_69bq2s0siczx643","288"
"xs26_39u08k4oz321x12596","285"
"xs26_3lkkl3z1qaaq1","285"
"xs26_0g88e1t6zo5ld11z01","284"
"xs26_39u0okcz320fgkc","284"
"xs26_628c97079a4zw3552","284"
"xs26_gbb8brz8l5p1zw1","284"
"xs26_w4a96z0g8jd59a4z321","284"
"xs26_06t1e8gzo4k55dz011","282"
"xs26_0mlhikoz346062ac","281"
"xs26_62s0v1ooz321078c","280"
"xs26_j1u0o4s3qicz11x1","280"
"xs26_ciabaq4og4czw1243","279"
"xs26_cimgmkl3z4aa6w1","278"
"xs26_g88baq3ob96z123","276"
"xs26_069acz2ege1t52zx11","275"
"xs26_08o0u1tazoif0321","275"
"xs26_69ligzw6247ob96","272"
"xs26_0mmge996zrq221","271"
"xs26_4aarggraa4zw4aa4","271"
"xs26_06996z3ll553z1221","270"
"xs26_0cc0sie0e96z6513","269"
"xs26_8e1u0mmz6agf201","269"
"xs26_c88b96zdb079ic","269"
"xs26_g88mllmz178dw23","269"
"xs26_3hu0ooz34aaqic","265"
"xs26_4a96z699b96z2552","265"
"xs26_3lkm0uiz12430346","264"
"xs26_g88mll2zo5lc221z01","263"
"xs26_255mggozw34622qic","262"
"xs26_j1u0uhe0e93z11","262"
"xs26_0g88bbgz3kl55dz011","259"
"xs26_651u0mk4ozw178701","258"
"xs26_0caab8b96z253033","257"
"xs26_02596z2lll552z1221","256"
"xs26_699e0mmz6997011","256"
"xs26_08o6kl3zoif0dd","255"
"xs26_2llmz346078br","255"
"xs26_3lkaacz347079c","255"
"xs26_04aab8b96zc87113","252"
"xs26_gg0gill2zdlkd221","252"
"xs26_31e8w8ozc8711dlo","251"
"xs26_69b88cz6511d553","251"
"xs26_69b88gz69d1d4ko","251"
"xs26_651u0o8zw3147069a4","247"
"xs26_gg2u0ehe0eicz1221","247"
"xs26_0gg06t1e8z320fgb6","246"
"xs26_69a4z699b96zw2552","246"
"xs26_69b8bb8oz017871","245"
"xs26_8kk6p3qicz06943","245"
"xs26_c88bbob96z3552","245"
"xs26_g84s0v1qb96z121x1","245"
"xs26_g03l2sgzdlld221","244"
"xs26_6a88b96zw69d1156","240"
"xs26_cilmggzx66078k4ozy51","240"
"xs26_39egmicz697066","239"
"xs26_651u0e9jzw35871","239"
"xs26_4aik8g0ggm952zxc8701","238"
"xs26_04s0v9zc97078a6","236"
"xs26_0g88ml96zol59a6","234"
"xs26_wi5ligzg85t0643z121","234"
"xs26_0651u06952zci9611","233"
"xs26_259q4goz6a87078c","233"
"xs26_69a4z2lll56z3421","233"
"xs26_y0gs2qb96zg8o643z11","233"
"xs26_c89n8bbgz3303421","232"
"xs26_j1u0uhe0eioz11","232"
"xs26_okkbaarz6a871","232"
"xs26_3lkkljgz32w62452","231"
