"apgcode","occurrences"
"xs11_g8o652z11","38745940376"
"xs11_g0s453z11","2592218292"
"xs11_ggm952z1","2245986702"
"xs11_69lic","951999507"
"xs11_178jd","769868491"
"xs11_178kic","763178242"
"xs11_2530f9","529467369"
"xs11_g0s253z11","426231525"
"xs11_ggka53z1","345358084"
"xs11_2ege13","307046171"
"xs11_2560ui","296542016"
"xs11_g0s256z11","294132557"
"xs11_178b52","174826310"
"xs11_3586246","165929493"
"xs11_31461ac","159055774"
"xs11_g8ka52z11","155676575"
"xs11_31e853","85849691"
"xs11_178c4go","82006810"
"xs11_32132ac","73306652"
"xs11_69jzx56","64550175"
"xs11_354c826","60537620"
"xs11_25icz65","50344608"
"xs11_256o8go","42661205"
"xs11_08o652z32","42566618"
"xs11_3542156","36110838"
"xs11_25a84ko","36018931"
"xs11_178ka6","28920172"
"xs11_69jzx123","20942973"
"xs11_358gka4","15698231"
"xs11_178c48c","15534317"
"xs11_0cp3z65","15078240"
"xs11_25akg8o","15055831"
"xs11_4ai3zx123","13871401"
"xs11_31eg84c","13452228"
"xs11_35a8426","10401262"
"xs11_17842ac","9241400"
"xs11_0drz65","4540301"
"xs11_0g0s252z121","4255973"
"xs11_25iczx113","3673175"
"xs11_wg84213z65","2797559"
"xs11_3215a8o","1644060"
"xs11_g88a52z23","1584339"
"xs11_17842sg","353537"
"xs11_03ia4z65","332863"
"xs11_321eg8o","136065"
"xs11_xg853zca1","95278"
