"apgcode","occurrences"
"xs13_g88m96z121","1214720846"
"xs13_4a960ui","764935579"
"xs13_69e0mq","610851183"
"xs13_0g8o653z121","451601090"
"xs13_2530f96","435273902"
"xs13_321fgkc","282351457"
"xs13_31egma4","210884389"
"xs13_32qb96","193673737"
"xs13_g8ge96z121","184689688"
"xs13_354djo","167387693"
"xs13_31ege13","131515556"
"xs13_354mp3","121023402"
"xs13_08ka96z321","110510527"
"xs13_djozx352","104318334"
"xs13_0ggm952z32","90431792"
"xs13_255q8a6","86712506"
"xs13_3hu06a4","82684379"
"xs13_4aarzx123","73406479"
"xs13_2530fho","70656498"
"xs13_25960ui","66911138"
"xs13_2560uic","59926799"
"xs13_17871ac","52485894"
"xs13_31kmiczw1","46417265"
"xs13_0gbaicz121","42051887"
"xs13_0mk453z121","41795069"
"xs13_2eg6p3zx1","40597867"
"xs13_356o8a6","35547505"
"xs13_08o696z321","33127608"
"xs13_08u156z32","33084615"
"xs13_0ggs253z32","32625138"
"xs13_c88a52z33","31566822"
"xs13_0gil96z32","29156163"
"xs13_6970bd","28735462"
"xs13_2560uh3","27053562"
"xs13_0g8o652z321","22958709"
"xs13_3123qic","21053072"
"xs13_259mge2","18409127"
"xs13_354264ko","15241448"
"xs13_0ggka53z32","14196507"
"xs13_32qj96","12877959"
"xs13_g8ka23z56","12508306"
"xs13_39e0mq","12495390"
"xs13_32qkzx346","11611985"
"xs13_25ac0f9","10116266"
"xs13_wggm93z252","9958904"
"xs13_wggm96z252","9928435"
"xs13_08ob96z32","9865768"
"xs13_g6q453z11","9831733"
"xs13_0g8ka53z23","8295281"
"xs13_0g8o653z23","8291570"
"xs13_178n96","7620423"
"xs13_2ege1e8","7482967"
"xs13_0gbb8oz121","7038866"
"xs13_0gbaa4z321","6432217"
"xs13_035iczca1","6385932"
"xs13_2lmge2z01","5068319"
"xs13_g0s2pmz11","4867807"
"xs13_0gbq23z121","4756808"
"xs13_39e0db","4070841"
"xs13_3146178c","4024465"
"xs13_3pczw1156","3534536"
"xs13_0g8ka52z321","3523682"
"xs13_358go8a6","3276463"
"xs13_32arzx123","3238100"
"xs13_0gbaa4z123","2870770"
"xs13_178c0f9","2727784"
"xs13_0ggs256z32","2689538"
"xs13_354c0f9","2623658"
"xs13_c9jzbd","2472055"
"xs13_25a8oge2","2369066"
"xs13_32hu0oo","2306884"
"xs13_32hu066","2168237"
"xs13_651i4ozw121","2088499"
"xs13_352sga6","1808166"
"xs13_31eg84ko","1605965"
"xs13_wg8o652z65","1532341"
"xs13_0g0s256z321","1508978"
"xs13_31e86246","1312371"
"xs13_0ggm96z56","1299795"
"xs13_oe1246z23","1299077"
"xs13_31eozx1252","1221976"
"xs13_g842156z123","1206952"
"xs13_0gba96z121","1173779"
"xs13_178ka53","1171523"
"xs13_32132ako","1153253"
"xs13_256o8gkc","1144867"
"xs13_g8ka52z56","1097235"
"xs13_3lozx356","1088933"
"xs13_0gjla4z32","1077277"
"xs13_ci52z39c","967967"
"xs13_8ljgzx346","962947"
"xs13_25b8og8o","937705"
"xs13_6246pic","867500"
"xs13_0g0s253z321","846170"
"xs13_o4pb8oz01","817295"
"xs13_ghn871z1","720993"
"xs13_256o8a52","703418"
"xs13_25akg853","688503"
"xs13_j5c48cz11","643623"
"xs13_0o4871z643","577037"
"xs13_32ac0f9","517729"
"xs13_17842ako","508621"
"xs13_178c48a6","469811"
"xs13_0g6p56z121","467021"
"xs13_178f123","463318"
"xs13_354215ac","455052"
"xs13_0o4a52z643","431910"
"xs13_08k8a52z321","395019"
"xs13_32qczx1246","390267"
"xs13_32qbzx113","385232"
"xs13_652sga6","358529"
"xs13_bdggkczw1","348448"
"xs13_69jwo8zx121","333476"
"xs13_25iczw1256","329803"
"xs13_0gbq23z23","306801"
"xs13_wggs252z252","302798"
"xs13_31231ego","298227"
"xs13_32arz065","279640"
"xs13_jhe8z65","261828"
"xs13_wggka52z252","261668"
"xs13_35a8og4c","255025"
"xs13_641vg4c","248726"
"xs13_8ljgzx256","238782"
"xs13_6248n96","209917"
"xs13_c9jz39c","207957"
"xs13_w8o652zca1","204771"
"xs13_39cggkczx1","201828"
"xs13_ggca52z65","194302"
"xs13_25iczx1156","188542"
"xs13_j96zdb","174970"
"xs13_321egma","164160"
"xs13_25b8og4c","164104"
"xs13_2ege1246","157875"
"xs13_c9jzw1156","149114"
"xs13_32akg853","146669"
"xs13_0ggca52z641","136517"
"xs13_0g4q552z121","128739"
"xs13_3pa4zw1246","122093"
"xs13_6421eozx32","120456"
"xs13_dj8gzx346","119581"
"xs13_0cp3z69c","117884"
"xs13_69jzx1248c","117401"
"xs13_256o8ge2","114684"
"xs13_31248gzy212ko","113902"
"xs13_31eozca1","112095"
"xs13_32hjkczw1","111870"
"xs13_0g88b52z123","108998"
"xs13_ci52zbd","104156"
"xs13_178kq23","103611"
"xs13_4ap3zw1252","102578"
"xs13_dbgzbd","101105"
"xs13_35426853","99119"
"xs13_0ggm93z56","95140"
"xs13_358mp3","90538"
