"apgcode","occurrences"
"xs14_g88m952z121","2524156780723"
"xs14_69bqic","207035313953"
"xs14_g88b96z123","98083653030"
"xs14_6970796","11631656324"
"xs14_j1u066z11","7747438783"
"xs14_69bo8a6","4082660401"
"xs14_39e0e93","3334453167"
"xs14_6is079c","2651741215"
"xs14_69e0eic","2150872656"
"xs14_39e0eic","1520434837"
"xs14_39e0e96","975189006"
"xs14_g8o0e96z121","681516392"
"xs14_6960uic","455895372"
"xs14_69la4ozx11","264742435"
"xs14_4a9m88gzx121","206757268"
"xs14_g8o69a4z121","203601233"
"xs14_j1u413z11","156514592"
"xs14_g4s079cz11","155494573"
"xs14_3hu0696","149075756"
"xs14_g8id96z121","140622699"
"xs14_31egm96","131632584"
"xs14_1no3tg","116393672"
"xs14_2egu156","112611992"
"xs14_o4s079cz01","98246442"
"xs14_i5q453z11","76222389"
"xs14_39e0eio","67834485"
"xs14_g88q552z121","67698423"
"xs14_31ego8a6","67533264"
"xs14_g2u0696z11","63866051"
"xs14_o4id1e8z01","63339706"
"xs14_0g8o653z321","61944876"
"xs14_g88m552z121","55510390"
"xs14_mmge13z1","46410974"
"xs14_69960ui","41949123"
"xs14_08o69a4z321","41286466"
"xs14_08o6952z321","40773424"
"xs14_c88a53z33","39901397"
"xs14_08o0e96z321","38049295"
"xs14_0mk453z321","37412956"
"xs14_65p68ozx11","36732644"
"xs14_08u1e8z321","35415648"
"xs14_69arzx123","35017107"
"xs14_69f0f9","34864627"
"xs14_32qj4ko","34511549"
"xs14_08o0e93z321","32671386"
"xs14_g4s0796z11","26811981"
"xs14_4a9raa4","26419558"
"xs14_3hu0ui","25468735"
"xs14_69akgkczx1","25004556"
"xs14_6970si6","23967115"
"xs14_c88e13z33","18647698"
"xs14_0gbaa4z343","17953149"
"xs14_0cq1e8z321","17460043"
"xs14_08u1acz321","16645754"
"xs14_3hu0okc","16281485"
"xs14_4a9ria4","15625694"
"xs14_259e0mq","15559660"
"xs14_0g8ob96z23","15124676"
"xs14_6530f96","14645549"
"xs14_c88b52z33","13390510"
"xs14_wggm93z643","11948006"
"xs14_65la4ozx11","11750082"
"xs14_djozx356","11428970"
"xs14_3560uic","11240458"
"xs14_69jzx12453","10807004"
"xs14_ci96zw1156","10762559"
"xs14_3560uh3","10228939"
"xs14_0gbb8oz321","9419459"
"xs14_65pa4ozx11","9375763"
"xs14_3hu06ac","9057517"
"xs14_256o8a53","8785465"
"xs14_0gbaicz321","8272539"
"xs14_31egm93","8200491"
"xs14_4aaraa4","8182970"
"xs14_69iczx1156","7787261"
"xs14_dbgzmq1","7335287"
"xs14_0g8ehrz121","7042512"
"xs14_cai3zbd","6657709"
"xs14_0md1e8z32","6603700"
"xs14_178f1e8","6437929"
"xs14_354cgs26","5720280"
"xs14_o8brzx123","5663721"
"xs14_wggca52z2521","5307237"
"xs14_69ak8zx1252","5212863"
"xs14_354c32ac","4987299"
"xs14_64pb8ozx11","4717842"
"xs14_wggm96z643","4405456"
"xs14_64132qr","3899480"
"xs14_0gbqicz23","3694781"
"xs14_0gbb8oz123","3584600"
"xs14_o4s0796z01","3553293"
"xs14_g84q552z121","3515426"
"xs14_0gbap3z121","3449051"
"xs14_g6pb8oz11","3279999"
"xs14_3542tic","3092484"
"xs14_i5q8a6z11","2953830"
"xs14_64lb8ozw11","2949472"
"xs14_c88a52z352","2923752"
"xs14_33gv146","2799301"
"xs14_3lmge2z01","2742808"
"xs14_8o0uh3z23","2740668"
"xs14_2552sga6","2676112"
"xs14_08u156z65","2569176"
"xs14_6421fgkc","2414415"
"xs14_j5s252z11","2365625"
"xs14_178c2ego","2334045"
"xs14_178jq23","2284288"
"xs14_wgil96z252","2263004"
"xs14_wggm952z252","2192550"
"xs14_0m2s53z121","1957624"
"xs14_65la8czw11","1949137"
"xs14_4a9j08ozx121","1896388"
"xs14_08ka952z321","1799413"
"xs14_35ac0f9","1783199"
"xs14_wggm96z652","1656113"
"xs14_4s0f96z11","1561237"
"xs14_0g6p2sgz121","1389922"
"xs14_4s0fhoz11","1358018"
"xs14_25is0qm","1349768"
"xs14_6970sic","1274688"
"xs14_39c0f96","1237000"
"xs14_8ehjzw1252","1182671"
"xs14_wggka52z643","1164953"
"xs14_xok871z253","1138136"
"xs14_03lkk8z252","1081619"
"xs14_0gbaa4z643","1063775"
"xs14_0g0s2pmz121","1058437"
"xs14_4s0ci96z11","985103"
"xs14_0c88b5z253","944576"
"xs14_drz012156","922267"
"xs14_4a9b8ozx32","822567"
"xs14_25a8o653","820410"
"xs14_32132qr","817253"
"xs14_178bq23","772942"
"xs14_0gbq23z321","750868"
"xs14_cilmzx252","749703"
"xs14_04s39cz321","697100"
"xs14_0mp3zc96","696017"
"xs14_xoka52z253","676914"
"xs14_0ggm952z56","671488"
