"apgcode","occurrences"
"xs31_69b88bbgz69d11dd","616867"
"xs31_0ca178b96z69d1d96","30124"
"xs31_69b8b96z25t1t52zx1","11474"
"xs31_g886l5a8ozdd11dd11","6032"
"xs31_4a9b8bbgz259d1dd","2724"
"xs31_gj1u0u93zdlgf032","1238"
"xs31_gj1u0o4czdlgf0f9","921"
"xs31_03hu0ooz4706iq2qic","674"
"xs31_gg0si52zdd0eiqb96","549"
"xs31_g88bb8b96zc97079c","522"
"xs31_69b88bb8b96zx33033","402"
"xs31_69b8b96z2ll553z0121","385"
"xs31_0mll2sgzra0v066z011","286"
"xs31_69b8baicz69d1dd","259"
"xs31_69b8bb88gzw69d1dd","250"
"xs31_259q4oa6z6a87078a6","244"
"xs31_69b8b96z69f0f96","242"
"xs31_j1u0u1u0mmz11x1w346","221"
"xs31_651u0u156z0o5l871zw1","160"
"xs31_069b8bbgz359d1dd","147"
"xs31_mm0u1v0ccz11078b6","140"
"xs31_3lkmgmmggkcz3201w66","129"
"xs31_178baa4z0mkkl3z32w23","122"
"xs31_0ggmlligz34aaqaa43","114"
"xs31_4a9baiczml55loz11","108"
"xs31_69b88c8a6z69d1d96","107"
"xs31_ok4o0u1u0ok8z6a87011","107"
"xs31_4a9f0f9gz259f0f9","101"
"xs31_02llmz0bq2qbz3210123","86"
"xs31_69b88gz2lllldz346","83"
"xs31_wml1e8gzgh2u1ddz1221","83"
"xs31_g88bb8b96zc970796","79"
"xs31_gj1u0o8zdlgf0fio","76"
"xs31_69acwgz2lll55dz3421","75"
"xs31_2lligz346kk3zx123cko","69"
"xs31_iu0u1lmz6a87078c","66"
"xs31_0gs2t5iz1qa2t543zw11","61"
"xs31_cimkihe0eik8zwcik8","59"
"xs31_wg8kie0ehe0eik8z2543","56"
"xs31_02lligz0344mk3zokc321","54"
"xs31_69b88br0rrzx3543","54"
"xs31_2596o8zy0hab88gzx6b8711","49"
"xs31_0g8ogka52sgz1qq2qic","48"
"xs31_gj1u0e93zdlgf033","47"
"xs31_g88ehlmzdd1fge21","46"
"xs31_gbb8bbgzo5l55dz011","43"
"xs31_0c9b8bq23z69d1dd","42"
"xs31_69ic0ck8gzx1169e1d96","42"
"xs31_69b8b96z651311d96","41"
"xs31_6t1u0o8z1pgf0fio","41"
"xs31_ca2jaabgz330fgmd","41"
"xs31_g6t1e8gzdd0fhld","40"
"xs31_0g8ehlmzra0v0643z011","39"
"xs31_cc0v1u0u156z3543w1","39"
"xs31_0354kl3z3j0v06joz011","37"
"xs31_039u0u93z660787066","37"
"xs31_0gjlkm2ocz346w1078a6","36"
"xs31_3iaba96zw1pl3z3543","36"
"xs31_69b88c0v18ozx5b87011","36"
"xs31_04a96z3llll56z32w23","34"
"xs31_0660u1u066z69f0dd","34"
"xs31_2ll2s53z34bc1d96","33"
"xs31_4a9e0e9a4z69d1d96","33"
"xs31_ca970v18oz311d9611","33"
"xs31_ciab96k4ozw19f0dd","33"
"xs31_03lkmggkczwh8kicz2543","32"
"xs31_4ak81v0v1u0uizx11x1","32"
"xs31_651u0o4ozy01pgf0f96","32"
"xs31_651u0u1lmzw178b43","32"
"xs31_06t1u0ooz255kjge2zx1","31"
"xs31_39u0eikozw122622qic","31"
"xs31_g2u0u1egmicz11w3543","31"
"xs31_3lk453z3egv0rr","30"
"xs31_c88b96zw359e0u156zy311","28"
"xs31_ggxg08o653zhaalld11z11","28"
"xs31_0okie0u1diczca26221","27"
"xs31_oo0o8gu156zx3kcz0ca611","27"
"xs31_4a9eg88gz69f0fgld","26"
"xs31_caab8baa4z355d93","26"
"xs31_ml1u0e996z1221x3552","26"
"xs31_04aq3ob5z6a87078a6","25"
"xs31_3lkkl3z3460u1eozy111","25"
"xs31_69b8bb8oz255ll2zx11","25"
"xs31_6t1u06996z178ll8","25"
"xs31_ca1v0jjz330fgld","25"
"xs31_cilligoz0ggmia6z346","25"
"xs31_069b8bbgz31p55p1zx11","24"
"xs31_0mm0u1v0cicz6430321","24"
"xs31_8e1v0jjz330fgld","24"
"xs31_0g8k4o1v0cicz6b870121","23"
"xs31_33gv1s6zwcngf033","23"
"xs31_3pmgmiczciq2qic","23"
"xs31_4aq3qa4z4ar0ra4zw121","23"
"xs31_69b8b96z03lkl3z01221","23"
"xs31_069is0c4ozca22ehld","22"
"xs31_09v0v9zra961696","22"
"xs31_69b8baq453z0311dd","22"
"xs31_cc0s2t3ob96z3543w1","22"
"xs31_8e1t6z330f8b96zx33","21"
"xs31_g88bb8brz1259hld","21"
"xs31_ml1u0ehraik8z1221","21"
"xs31_mm0u1lmz11078f0cc","21"
"xs31_062s0si96z178f0eic","20"
"xs31_0gilligzra0s2qq1z011","20"
"xs31_gs2u0u1e8z66078b6","20"
"xs31_04s0s2mk453zc970743","19"
"xs31_69aczmllll3z1w643","19"
"xs31_69b88a52z69d11dik8","19"
"xs31_69b8brz69d1d4ko","19"
"xs31_69baab9czx359d113","19"
"xs31_039u0u2sgz6a870743","18"
"xs31_0gillicz3kmiaa4z1221","18"
"xs31_0gjlkkmgmicz32w6226","18"
"xs31_0ml1eozra0v1ok8z011","18"
"xs31_2llmggz01qq2qbzy21246","18"
"xs31_699e0ep3z69d1dd","18"
"xs31_69b88bb8brzx3553","18"
"xs31_69e0uhe0e96z6953","18"
"xs31_g8e1lmzdlhf0e96","18"
"xs31_03lkkl3zgbaaa43z123","17"
"xs31_252s0si6zwdlgf0ca6","17"
"xs31_259acy0g84k8zx65130fgp1","17"
"xs31_69b88c88b96zw69d113","17"
"xs31_6a8c9b88a53z6513113","17"
"xs31_w259aczmm0u1d96z1221","17"
"xs31_25b8bbgzo81v0743z011","16"
"xs31_4aabaa4z69b8b52z033","16"
"xs31_69b88c1v079czx33032","16"
"xs31_69b8bbgz2ll55dz011","16"
"xs31_g88e1t6zdlll5ozx11","16"
"xs31_xi5lmz65l5s3496zw11","16"
"xs31_03lk6iozckgf0fgkc","15"
"xs31_0c88b9acz65130311d96","15"
"xs31_0g8o6llmz3egnc1023","15"
"xs31_3lkkl3z320147079ic","15"
"xs31_69f0f96z2ll553z011","15"
"xs31_ca9b8brz319lld","15"
"xs31_ciab8bqikozx178a6","15"
"xs31_cimgehlmzx3470696","15"
"xs31_oo0o4k6p3qicz0c87011","15"
"xs31_w4a96z2lllll3z346w1","15"
"xs31_0ggmkkmhe0e96z32w66","14"
"xs31_2llmgg0g8gz346w1078bq","14"
"xs31_651u0oozrr0vga6","14"
"xs31_g8ehlmzdlgf0e96","14"
"xs31_w2lmgeiczg89aaq1z123","14"
"xs31_0ggca9mggz320fgv0643","13"
"xs31_4a9b8bb8b96zx33033","13"
"xs31_651u0e9ak8zw11x32qic","13"
"xs31_69b8b96zx3h5u0oozy011","13"
"xs31_69b8baarz69d1132","13"
"xs31_8kkmhf8brzx6a871","13"
"xs31_iu0u1lmz6a870743","13"
"xs31_mm0u1vg33z11078a6","13"
"xs31_o80u1mkkoz011w3460796","13"
"xs31_w69a4z2lllll3z346w1","13"
"xs31_0259aczmlhlmz122643","12"
"xs31_069b8bbgz355d1dd","12"
