"apgcode","occurrences"
"xs10_g8o652z01","109634311659"
"xs10_35ako","30031199940"
"xs10_32qr","8512022099"
"xs10_178kk8","5150090513"
"xs10_69ar","4212906121"
"xs10_358gkc","2211028317"
"xs10_g0s252z11","1814117444"
"xs10_0drz32","1646958376"
"xs10_3215ac","1272885833"
"xs10_3542ac","979908120"
"xs10_1784ko","732771681"
"xs10_ggka52z1","492335578"
"xs10_g8ka52z01","356956398"
"xs10_0cp3z32","170278409"
"xs10_0j96z32","168751322"
"xs10_4al96","156393220"
"xs10_178ka4","137367817"
"xs10_31eg8o","90214480"
"xs10_xg853z321","64656015"
"xs10_drz32","38112289"
"xs10_ggka23z1","16352065"
"xs10_25a8426","14773981"
"xs10_2eg853","9120460"
"xs10_1784213","6525250"
"xs10_wg853z65","1069349"
