"apgcode","occurrences"
"xs15_354cgc453","10443665925"
"xs15_j1u06a4z11","1475025923"
"xs15_259e0eic","1020913849"
"xs15_3lkm96z01","695261022"
"xs15_3lk453z121","463048455"
"xs15_4a9raic","414111689"
"xs15_259e0e96","322734591"
"xs15_0gilicz346","199802056"
"xs15_259e0e93","182650350"
"xs15_259e0eio","161616882"
"xs15_09v0ccz321","94126503"
"xs15_o4s3pmz01","92683043"
"xs15_25960uh3","80162367"
"xs15_6t1egoz11","79131813"
"xs15_g8o6996z121","76929273"
"xs15_3213ob96","68567825"
"xs15_08o6996z321","67944386"
"xs15_69aczw6513","66267802"
"xs15_69bojd","60638477"
"xs15_25960uic","53642259"
"xs15_25a8ob96","51468121"
"xs15_4a9b8oz033","39020757"
"xs15_0ggca96z3421","37084733"
"xs15_69ak8zx1256","33008644"
"xs15_178bqic","29568863"
"xs15_33gv1oo","28471756"
"xs15_0ggmp3z346","27798880"
"xs15_4ap6426z032","26417668"
"xs15_0g8ka96z3421","25566861"
"xs15_65123qic","24516826"
"xs15_06t1acz321","22643418"
"xs15_3hu069a4","21132096"
"xs15_4a960uic","19271449"
"xs15_0mk453z3421","19204699"
"xs15_0j1u066z121","18229534"
"xs15_oggm96z66","17915397"
"xs15_699m88gzx121","17847150"
"xs15_0gbb8oz343","17783170"
"xs15_ca96zw3552","17747487"
"xs15_06t1e8z321","14640781"
"xs15_0c8a52z2553","14321679"
"xs15_4a970si6","13947611"
"xs15_25is0sic","13939060"
"xs15_0g8ehrz321","13094518"
"xs15_0ggca96z1243","12062744"
"xs15_69aczx3156","11306064"
"xs15_g88m596z121","11179139"
"xs15_0g0si53z343","10663811"
"xs15_kc0si96z11","10343444"
"xs15_ca96zw3156","10128244"
"xs15_xoka52z653","8427223"
"xs15_0cid96z321","8057241"
"xs15_259mge13","7427899"
"xs15_25is0si6","7366360"
"xs15_0mk453z1243","6445143"
"xs15_695q88gzx121","5833257"
"xs15_25a8czx6513","5550598"
"xs15_0j1u0ooz121","5384365"
"xs15_69aczx3552","5298239"
"xs15_4aara96","5063248"
"xs15_c88b52z352","4832095"
"xs15_0gbaa4z3452","4768325"
"xs15_wggm952z643","4184270"
"xs15_69aczw2553","3904206"
"xs15_0c8a52z6513","3878920"
"xs15_0gbap3z321","3608858"
"xs15_4a970sic","3360574"
"xs15_xok871z653","3294584"
"xs15_65la4ozw121","3019199"
"xs15_3loz12ego","2984143"
"xs15_178c0f96","2977345"
"xs15_25ac0fho","2976997"
"xs15_j5q8a6z11","2943551"
"xs15_08u1daz321","2853533"
"xs15_3pm0eic","2519519"
"xs15_699mkk8zx1","2431478"
"xs15_0ggci96z343","2362764"
"xs15_31ege2ko","2303973"
"xs15_0g0si96z343","2252968"
"xs15_xg8o653zca1","2219208"
"xs15_wggca52z6521","2210625"
"xs15_178bpic","2145654"
"xs15_g88a52z178c","2139420"
"xs15_c88e13z352","2071905"
"xs15_2egu15a4","2007944"
"xs15_3pm0e96","1931394"
"xs15_4aab8oz033","1927061"
"xs15_39e0mp3","1849812"
"xs15_0gba96z343","1821885"
"xs15_0ggci96z643","1814945"
"xs15_69b88czw252","1757794"
"xs15_25ac0f96","1706086"
"xs15_69is0qm","1680719"
"xs15_0c88a52z2552","1675356"
"xs15_358gu156","1600146"
"xs15_255q8a53","1586591"
"xs15_3lkia4z32","1454393"
"xs15_354miozw32","1451056"
"xs15_2ego8br","1434976"
"xs15_4aabgzx3452","1385577"
"xs15_31eozx12552","1369395"
"xs15_39u066z032","1364051"
"xs15_2ege1ego","1360654"
"xs15_02llicz252","1269328"
"xs15_0gbhe8z3421","1187486"
"xs15_02l2sgz2543","1171387"
"xs15_25aczw31156","1162398"
"xs15_699m4k8zx11","1152323"
"xs15_0g0s2qrz121","1138620"
"xs15_8ehjzw1256","1128916"
"xs15_39u0ooz32","1077128"
"xs15_39u066z32","1039634"
"xs15_0c88a53z253","1008774"
"xs15_wggm96z696","1001660"
"xs15_g8e13zpi6","984146"
"xs15_5b88a6z033","980645"
"xs15_03pczok452","979403"
"xs15_256o8br","948560"
"xs15_64lb8ozw121","946361"
"xs15_cilmzx346","942691"
"xs15_g8id1egoz01","938751"
"xs15_wgil96z643","937423"
"xs15_4a9ra96","935865"
"xs15_31eozw122ac","919728"
"xs15_2552sgz0253","909679"
"xs15_3pq32ac","880793"
"xs15_0at1e8z321","864889"
"xs15_oggm93z66","816788"
"xs15_03lk46z2521","797961"
"xs15_g8hf0cicz01","794111"
"xs15_025a8cz6513","788682"
"xs15_0ggo8brz32","780455"
"xs15_356o8a53","773463"
"xs15_2lla8oz121","766034"
"xs15_0at1acz321","746396"
"xs15_178c2dio","718663"
"xs15_03lkk8z652","702410"
"xs15_03lkk8z643","695872"
"xs15_bd0ehr","693896"
"xs15_3lkm93z01","688956"
"xs15_0ggraicz32","673905"
"xs15_4a9r8b5","666220"
"xs15_6413ob96","656816"
"xs15_gilmz1w256","635593"
"xs15_xc8a52z6513","634535"
"xs15_3hu0oka4","633566"
"xs15_wmk453z643","604331"
"xs15_0g8gu156z23","599592"
"xs15_354c0f96","590625"
"xs15_0mlla4z32","561727"
"xs15_65lmzx346","534959"
"xs15_0g6p2sgz321","527484"
"xs15_oggka52z66","513075"
"xs15_08o653z69c","507880"
"xs15_178c2c871","505405"
"xs15_39e0djo","502976"
"xs15_g4s3pmz11","471306"
"xs15_c88a53z352","439602"
"xs15_32qczx12453","438925"
"xs15_xoka53z253","438489"
"xs15_4a9r2qk","436887"
"xs15_035iczcip","432730"
"xs15_65la8ozw121","431980"
"xs15_8e1qczx1252","429268"
"xs15_0j5s26z321","427522"
"xs15_0j9akoz321","420560"
"xs15_25b8o653","418853"
"xs15_wggm952z652","417278"
"xs15_ca9jzw3452","408768"
"xs15_0gba96z643","403220"
"xs15_178c2d96","402231"
"xs15_0bq1e8z321","390823"
"xs15_w8u156zca1","389721"
"xs15_w8o69a4z2521","383286"
"xs15_xoge13z653","380048"
"xs15_69d2cga6","379001"
"xs15_0gbb8oz643","373014"
