"apgcode","occurrences"
"xs21_69b8b96zw696","4878964"
"xs21_699e0okczw653","4177585"
"xs21_4a9m88gzcia521","2669441"
"xs21_39u0ehrz321","2012431"
"xs21_gbb8b96z11w33","1768191"
"xs21_6a88bbgzw255d","1617970"
"xs21_04s0ci53zc97011","1502875"
"xs21_oe1v0rrz011","1266178"
"xs21_mmge996z1243","1189240"
"xs21_g88rbgn96z11","1187436"
"xs21_69b88a6z033033","1168504"
"xs21_69acz6511d96","1092281"
"xs21_gbbo7picz11","1070889"
"xs21_c88mlicz3543","1025030"
"xs21_03lkkl3zc96w1","953531"
"xs21_o8b9aczx359a4","901984"
"xs21_0mmgu156z346","896381"
"xs21_2lla8cz643033","892121"
"xs21_69ak8gzcie1221","630673"
"xs21_354m88gzcia521","618671"
"xs21_255m88gzcia521","574142"
"xs21_699eg8oz0359c","571495"
"xs21_c8a52z355d96","543326"
"xs21_0mlhe0e96z32","540049"
"xs21_354mgmiczw346","504667"
"xs21_0g8e1eoz6b871","502621"
"xs21_8o6p3qicz0123","495871"
"xs21_ca1t2sgz3543","491545"
"xs21_2llmz12269ic","485936"
"xs21_0ca96z6511d96","474190"
"xs21_3lkmk46z32w23","471328"
"xs21_oo0e9jz6a871","436331"
"xs21_69b8bbgzw6511","435642"
"xs21_0iu0ep3z34611","385197"
"xs21_c88bbgz311dd","381363"
"xs21_69b8brz2552","376343"
"xs21_69b8bb8ozx33","367765"
"xs21_0cc0si96z6953","354793"
"xs21_0ggciqb96z343","307190"
"xs21_6996kk8z6953","299261"
"xs21_0259acz6513156","274010"
"xs21_8e1t2sgz3543","261682"
"xs21_39eg88gzcia521","242255"
"xs21_0ca96z69d1156","220102"
"xs21_g88e1ege1e8z11","203450"
"xs21_3lkkl3z32w252","201939"
"xs21_69ab8b96zx33","187766"
"xs21_xrhe0e96z253","164290"
"xs21_69acz69d1156","163187"
"xs21_4aabaa4z6953","162649"
"xs21_0mlhu0ooz346","161101"
"xs21_ca9d2sgz02553","151526"
"xs21_0mlhu066z346","151429"
"xs21_4a9baa4z6953","148205"
"xs21_69baik8z2553","147009"
"xs21_4a9b8b96zw253","140235"
"xs21_xrhe0eicz253","139138"
"xs21_2lligz12ege3","136227"
"xs21_69ak8gzx122dik8","131405"
"xs21_ca9b8oz359a4","128079"
"xs21_356o8gzy023ciic","127573"
"xs21_69mgmicz04aa4","122660"
"xs21_0mmgml3z346w1","121804"
"xs21_2llmz3ege3","121212"
"xs21_ad1e8gz5b871","119357"
"xs21_259egmiczw643","118406"
"xs21_6996z65115ak8","117803"
"xs21_4aab88gz255d11","115233"
"xs21_69b8f1e8z033","113917"
"xs21_ca9b8brzw33","113328"
"xs21_3hu0o4ozc87011","110702"
"xs21_gbb8b96z1253","110369"
"xs21_35a8c4oz069d11","103340"
"xs21_03lkkl3z696w1","103327"
"xs21_69ic0c4ozxdd11","102113"
"xs21_069iczciq22ac","101296"
"xs21_69b8brz653","97776"
"xs21_4a9baa4z033033","97349"
