"apgcode","occurrences"
"xs23_259e0ehu0ui","2426554"
"xs23_69b8b96z033033","1961660"
"xs23_69acz69d1d96","1822779"
"xs23_0ca96z69d1d96","883184"
"xs23_gbb8b96z123033","847388"
"xs23_cie0e9jzw11dd","430763"
"xs23_xrhe0ehrz253","377896"
"xs23_0354ljgz8kc32023","355660"
"xs23_256o8gzx6430ehr","331565"
"xs23_ml1e8gzdl871","308522"
"xs23_39e0o4czc970123","269890"
"xs23_c8970sicz06953","223546"
"xs23_9f0s26z3543033","202039"
"xs23_3lk6kl3zca1011","190977"
"xs23_651u0o4kozw3543","169354"
"xs23_4ais0s2qb96zy21","161442"
"xs23_0caabqicz2596","161187"
"xs23_699e0o4k8zw69521","154908"
"xs23_259m88gzy0123ciic","146320"
"xs23_3lkkl3z342643","145042"
"xs23_259e0ehe0e96","135952"
"xs23_02596z699r996","117619"
"xs23_69b8brz0bd11","115687"
"xs23_0g8ka96zraahz0121","112181"
"xs23_0mlhu0ooz34ac","112044"
"xs23_xg8o652zm2s346z11","110139"
"xs23_3lkkl3z32w696","107184"
"xs23_69b8bqicz0352","106777"
"xs23_259ac0c4ozx69d11","101767"
"xs23_ml1u0ooz11078c","100611"
"xs23_g88bbgzdd1dd","98409"
"xs23_69b8brz6996","89956"
"xs23_69b88b9czw2553","77750"
"xs23_okihf0f9z6a4","75697"
"xs23_69ac0siiczw2552","73586"
"xs23_03p6ge96z69521","71012"
"xs23_256o8gehrzx643","67194"
"xs23_0gbbo7picz321","64886"
"xs23_69b8baarzx33","63742"
"xs23_ciiriicz062ac","62933"
"xs23_4aabaicz69d11","61883"
"xs23_069b8b96z4a513","57099"
"xs23_3hu0o4czc870123","55477"
"xs23_178bb8oz069d11","48644"
"xs23_gbaab96z123033","48556"
"xs23_ok4o7picz2543","43280"
"xs23_2lla8a6z343033","41262"
"xs23_69acz2ll553z011","39933"
"xs23_3lkkl3z32w69c","38885"
"xs23_gbb88gzdd1dd","37614"
"xs23_8u1v0rrz0123","36964"
"xs23_gjlmgmicz1w66","36862"
"xs23_0mll2z344lkk8zx1","35750"
"xs23_69b88c8a6zx3552","34939"
"xs23_0ggca970si6z3421","34216"
"xs23_4a96ki6z699701","33756"
"xs23_0ca9bob96z253","32974"
"xs23_69b8bb8ozw2552","32823"
"xs23_3lkmkl3z346w1","31343"
"xs23_4a9baicz69d11","29351"
"xs23_ca9licz359a6","28249"
"xs23_0oo0u156zcia611","27599"
"xs23_gbb8brz123w123","26877"
"xs23_0db8b5oz651311","24955"
"xs23_0178b96z69d113","24806"
"xs23_g35a4ozdd1dd","23936"
"xs23_mmgmk453z1w643","23729"
"xs23_gg0si96zdlka6","23564"
"xs23_0ca9lmz8kkd221","23443"
"xs23_4amge996zx3453","23372"
"xs23_0gg08o653z32cll8","22650"
"xs23_259e0ehe0eic","22437"
"xs23_0gs2arz3egld","21625"
"xs23_3lkkl3z346065","21126"
"xs23_2lm0uiz6430346","21074"
"xs23_wmk2qb96z6943","20814"
"xs23_c88b96z33035ac","20518"
"xs23_0ca9e0eicz6952","20024"
"xs23_0gbaa4oz8lld11","19854"
"xs23_g39cggzdlhe221","19563"
"xs23_6996k4oz699701","19270"
"xs23_ca2s53z3303453","19262"
"xs23_697o3qicz0643","19126"
"xs23_mm0e996z10796","18926"
"xs23_6996z69d1dic","18880"
"xs23_69e0uicz6953","17275"
"xs23_69acz03ll552zw11","17136"
"xs23_4aicgg0si96zx1243","17051"
"xs23_6a8cgn96z2553","16903"
"xs23_cicgciarzw696","16885"
"xs23_259m88gzy0123ci96","16307"
"xs23_25a8c0c4ozw178711","16234"
"xs23_0c88bbgz6511dd","16206"
"xs23_2lm0u156zw3453","15632"
"xs23_gg0s29e0eik8z1221","15323"
"xs23_69b88brz033032","15228"
"xs23_ca9lmz3303496","15174"
"xs23_39e0u2sgz03543","15157"
"xs23_651u8zxg5u066zx11","15043"
"xs23_okkmgu156zw66","14815"
"xs23_3hu08oz3egld","14783"
"xs23_2lligkcz346066","14705"
"xs23_259acgciczw3543","14656"
"xs23_4a9egmicz03543","14396"
"xs23_0o4s3qicz11078c","14320"
"xs23_0gjl453z3ege3","14312"
"xs23_69mggmicz04aa6","13657"
"xs23_0o80u156z6430f9","13584"
"xs23_mmgml56z1w643","13536"
"xs23_259a4o0oka6zx643","13387"
"xs23_4aicggca952zx1243","13310"
"xs23_0gwci96zol55lo","13298"
"xs23_69b88c8a6zw2553","13130"
"xs23_xg84s0si52z4a9611","12675"
"xs23_2lligz346kk3zx11","12595"
"xs23_354mge996zw3421","12189"
"xs23_0c88b96z255d93","12176"
"xs23_69b8brz65132","11943"
"xs23_2lmgehrz3443","11859"
"xs23_4a9b8b96zw2596","11562"
"xs23_259ac0siczw4a53","11558"
"xs23_0caab96z653033","11548"
"xs23_39u0u1t6zw1221","11380"
"xs23_5b8b96zw651156","11342"
"xs23_0mllmz3460696","11293"
"xs23_c9b8b96z33w33","11226"
"xs23_9f0f9z311d96","10930"
"xs23_gbb8b96zc953","10850"
"xs23_06996zcid1d96","10755"
"xs23_ml56z18f0c453","10666"
"xs23_69b88brzw69a4","10563"
"xs23_2llmz12iabgzx121","10518"
"xs23_69b88cik8zw2553","10511"
"xs23_4a9egm96z03543","10343"
"xs23_0mlhu0ooz32ac","10218"
"xs23_c84s3qicz3543","10207"
"xs23_259a4o0o8gkczx643","10076"
"xs23_69b871z69l96","10061"
"xs23_gbaq3sj96z11","10023"
"xs23_wcimge13zca2ac","9968"
"xs23_0g39u066z8lld","9879"
"xs23_2lligz344lk3zx11","9844"
"xs23_y0g8o6952zo4kb221z01","9843"
"xs23_069b871z311d96","9514"
"xs23_ca1v0v1aczx121","9372"
"xs23_0gilmgmicz346w1","9360"
"xs23_39e0uicz6953","9352"
"xs23_ci4o0ehrzw11y0352","9333"
"xs23_699egmiczw696","9318"
"xs23_w6996zo4id1156z01","9137"
"xs23_06996z39d1d96","9049"
"xs23_39e0e970sia4","8905"
"xs23_0699eg8ozca5123","8900"
"xs23_69b88cz69l913","8809"
"xs23_0g06996zol5d93","8716"
"xs23_0gill2sgz346074","8525"
"xs23_08k4mgm96z69521","8494"
"xs23_354kl3zx10qb96","8333"
"xs23_0gill2z346069ic","8331"
"xs23_069is0s4zciq221","8317"
"xs23_025ac0s4z6511dd","8121"
"xs23_3hu0oozciq226","8100"
"xs23_3hu0o4iczc87011","8097"
"xs23_69ege9b8ozx123","8009"
"xs23_09f0c8a6z651156","7834"
