"apgcode","occurrences"
"xs16_g88m996z1221","85269957312"
"xs16_j1u0696z11","11842755901"
"xs16_69egmiczx1","6209988374"
"xs16_69bob96","763030469"
"xs16_259e0e952","665144298"
"xs16_0ca952z2553","241195700"
"xs16_3hu0uh3","231841266"
"xs16_3lk453z321","220172274"
"xs16_0ggca96z3443","170320128"
"xs16_69960uic","168531955"
"xs16_259aczx6513","108163185"
"xs16_39e0ehr","106325037"
"xs16_69is0si6","104007738"
"xs16_j1u0uiz11","93852125"
"xs16_j1u06acz11","81236692"
"xs16_697079ic","77906139"
"xs16_0ggs2qrz32","55189285"
"xs16_m2s079cz11","51607717"
"xs16_c4o0e96z321","44179076"
"xs16_0g8o69a4z3421","43188218"
"xs16_69f0f96","36922095"
"xs16_69e0ehr","36356616"
"xs16_08o0ehrz321","36328691"
"xs16_69is079c","32504053"
"xs16_0ca952z6513","25388336"
"xs16_4aab96z033","23185595"
"xs16_0mp2sgz643","20904177"
"xs16_3hu06996","19411457"
"xs16_4aab96zx33","18585531"
"xs16_0c8a53z2553","18420581"
"xs16_0g8o653zbc1","17168739"
"xs16_39s0ca4z321","17045770"
"xs16_2ege96z321","17037916"
"xs16_0gjlicz346","16630075"
"xs16_356o8br","16326127"
"xs16_69ngbr","15577142"
"xs16_259e0eik8","15474056"
"xs16_c4gf96z321","14432322"
"xs16_gbbo8a6z11","13129842"
"xs16_39egmiczx1","13066519"
"xs16_69b88czw652","11991305"
"xs16_08o6hrz643","11538686"
"xs16_g88q596z1221","11171439"
"xs16_j1u06ioz11","10604034"
"xs16_031e8gz8k871","10467797"
"xs16_0g8ka952z3421","9954501"
"xs16_0mk453z3443","9606454"
"xs16_c4o79cz321","9409570"
"xs16_09v0ca4z321","8667339"
"xs16_3iaj2acz011","8285125"
"xs16_0jhu0ooz32","8112450"
"xs16_35is0sic","7656226"
"xs16_wg0si96z2543","6431156"
"xs16_0259acz6513","6411211"
"xs16_259aria4","6315781"
"xs16_gbap56z121","5879932"
"xs16_69baiczx32","5598486"
"xs16_69ligozw66","5550547"
"xs16_xoka53z653","5323660"
"xs16_c9b871z33","5268088"
"xs16_3hu0uic","5210028"
"xs16_31egu156","5045145"
"xs16_h7ob96z11","4625298"
"xs16_w8k8a53z6521","4551379"
"xs16_0gjlkcz346","4420506"
"xs16_8o6p96z1221","4373429"
"xs16_0j1u066z321","4067912"
"xs16_0c8a53z6513","4015532"
"xs16_69ara96","3820530"
"xs16_0j1u0ooz321","3566354"
"xs16_oggm952z66","3451091"
"xs16_raarzx123","3326428"
"xs16_35is0si6","3294301"
"xs16_xca952z6513","3255601"
"xs16_0c8a52z6953","3229777"
"xs16_1no3qic","3222865"
"xs16_mkhf0ccz1","2980961"
"xs16_0259acz2553","2891348"
"xs16_259mggozx66","2786044"
"xs16_35a8ob96","2780943"
"xs16_0j9m4koz121","2599365"
"xs16_gs2ib8ozx32","2584485"
"xs16_xca952z2553","2562060"
"xs16_69p64k8zw121","2506379"
"xs16_g88e13z178c","2450851"
"xs16_02llicz643","2333233"
"xs16_25is0sia4","2323397"
"xs16_039m4koz311","2064013"
"xs16_0c93z651156","1970261"
"xs16_4a970sia4","1838068"
"xs16_253gv1oo","1817809"
"xs16_69b88czw256","1802764"
"xs16_6a88b52z033","1779921"
"xs16_358e1dio","1666316"
"xs16_6970si96","1659679"
"xs16_mmge1e8z1","1531140"
"xs16_697o4iczx11","1492326"
"xs16_69aczw6953","1491133"
"xs16_6a88brzx32","1462064"
"xs16_354kmzx1256","1444768"
"xs16_8e1t6zx1252","1440247"
"xs16_69aczx3596","1436945"
"xs16_0gilicz34a4","1426657"
"xs16_35a8czx6513","1407024"
"xs16_62s0f9z321","1401466"
"xs16_0c88a53z2552","1358333"
"xs16_6ags2qr","1296993"
"xs16_m2s0796z11","1277477"
"xs16_69b88gzxbd","1241578"
"xs16_35s2acz321","1212452"
"xs16_ogil96z66","1210044"
"xs16_259araa4","1188033"
"xs16_25is0si52","1187018"
"xs16_o4id1egoz01","1166393"
"xs16_25b88a6zw33","1163981"
"xs16_ca2s53z311","1133320"
"xs16_0ggm9icz1243","1050429"
"xs16_03l2sgz2543","986854"
"xs16_259aczx2553","972665"
"xs16_0pf033z643","919089"
"xs16_wggci96z2543","915877"
"xs16_2llm853z01","843589"
"xs16_69mggoz04a6","837857"
"xs16_c88q552z311","826520"
"xs16_2552sgz0653","792822"
"xs16_0g0s2qrz321","787442"
"xs16_09v0ck8z321","779933"
"xs16_178f1ego","765165"
"xs16_0c88a52z2596","741171"
"xs16_39cz651156","688494"
"xs16_0g8id96z3421","685309"
"xs16_mligz1w696","630950"
"xs16_cim453z641","624992"
"xs16_25b8ob96","622295"
"xs16_08u1egoz321","617293"
"xs16_gilmz1w696","610501"
"xs16_628c1fgkc","579976"
"xs16_4aqb96z32","564085"
"xs16_cilmzx696","526781"
"xs16_w8o6952z6521","520313"
"xs16_g88b96zc93","519999"
"xs16_wggca53z6521","518493"
"xs16_0cq1egoz321","514625"
"xs16_2ege132ac","513554"
"xs16_g8hf0cicz11","495886"
"xs16_wml5a4z643","494227"
"xs16_wg8ob96z643","489778"
"xs16_03lkk8z696","480972"
"xs16_4a9la4ozx121","479688"
"xs16_0giu0696z32","474664"
"xs16_g8id1egoz11","466545"
"xs16_35ac0f96","463309"
"xs16_0gba96z3452","461499"
"xs16_0j1u06a4z121","457777"
"xs16_0c88brz253","451975"
"xs16_358e1dic","450658"
"xs16_25a88a6z0253","435694"
"xs16_2ege93z321","423230"
"xs16_2lla8cz1221","420994"
"xs16_65lmge2zw1","399896"
"xs16_j5s2552z11","398840"
"xs16_35ako0ui","398090"
"xs16_wggm952z696","396220"
"xs16_2ego3qic","395167"
"xs16_ci5t2sgzw1","394162"
"xs16_03lkicz643","389656"
"xs16_0bq2sgz643","384858"
"xs16_69iczx115ac","384333"
"xs16_25iczw11d96","363154"
"xs16_0jhu066z32","359959"
"xs16_0gilmz32w252","359934"
"xs16_0c88b52z2552","355741"
"xs16_6a88a52z253","351887"
"xs16_69iczx1178c","351158"
"xs16_w8o6996z2521","349646"
"xs16_xc8a53z6513","344106"
"xs16_0gbb871z123","342751"
"xs16_gjlkk8z146","336088"
"xs16_3lmge2z32","333853"
"xs16_o4q552sgz01","327773"
"xs16_0md1e8z346","323411"
"xs16_c4o79icz011","321096"
"xs16_wgil96z696","318965"
"xs16_4s0v1e8zw11","318443"
"xs16_4a5pa4ozx121","318147"
"xs16_330fhar","310317"
"xs16_0i5t2sgz121","307197"
"xs16_358gzx2fgkc","293286"
"xs16_4a9r2pm","292954"
"xs16_04s0f96z321","292311"
"xs16_4aab88czx33","289451"
"xs16_0gil9a4z3421","287553"
"xs16_wgbqicz643","281936"
"xs16_259e0mp3","270896"
"xs16_03lk46z6521","270051"
"xs16_35is079c","265974"
"xs16_0bq2koz643","265821"
"xs16_0c88a53z653","255570"
"xs16_04a96z4a5113","252166"
"xs16_2ego2tic","251841"
"xs16_69ari96","250613"
"xs16_02llicz652","245935"
"xs16_39u08k8z321","241358"
"xs16_0co2d96z321","240090"
"xs16_2ege1dic","239452"
"xs16_0o4a952zbd","237846"
"xs16_g89f0cicz11","235806"
"xs16_259e0djo","232649"
"xs16_gill2z1w652","226008"
"xs16_354miczx56","225101"
"xs16_0gs2arz3421","223437"
"xs16_g2u0uh3z11","223380"
"xs16_3lkm952z01","216147"
"xs16_0mligoz1246","215792"
"xs16_4s0v1aczw11","212176"
"xs16_wml1e8z643","211246"
"xs16_1787164ko","209459"
"xs16_0mmge13z32","209063"
"xs16_0gs2pmz643","208539"
"xs16_39u0ooz65","207891"
"xs16_03lkk8zc96","205852"
"xs16_69abgzx3452","204721"
"xs16_256o8a6z0321","203461"
"xs16_35a88cz0653","202690"
"xs16_o4o7picz01","201542"
"xs16_035a8cz2553","201087"
"xs16_69ab8oz033","197084"
"xs16_0c9b8oz2552","196832"
"xs16_2l2s53z321","195654"
"xs16_0ml2sgz1243","190617"
"xs16_69aczx315a4","190420"
"xs16_035a8cz6513","186604"
"xs16_3hu0oka6","185363"
"xs16_5b8ra96","184296"
"xs16_039u0ooz311","180869"
"xs16_wggm952zc96","175492"
"xs16_w8o69a4z6521","167001"
"xs16_0g6pb8oz321","166639"
"xs16_g88a53z178c","165985"
"xs16_4aarzx12552","165477"
"xs16_65pajkc","163516"
"xs16_o4ic0fhoz01","160798"
"xs16_08u156z69c","160057"
"xs16_ciabgzx1256","159859"
"xs16_09fgkcz253","159737"
"xs16_g8ie0djoz01","158772"
"xs16_0mligoz1226","157197"
"xs16_3lkaa4z321","151669"
"xs16_69araic","151080"
"xs16_25a4ozx12596","150511"
"xs16_0c88a52z6952","148775"
"xs16_wggka53z696","147016"
"xs16_69ic8a6zw23","145282"
